,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
22,Halo: Reach,X360,Shooter,9.3,9.97,7.08,0.08,2.01,0.8,2010
23,Halo 4,X360,Shooter,9.3,9.96,6.72,0.04,2.36,0.83,2012
24,Call of Duty 4: Modern Warfare,X360,Shooter,9.6,9.41,5.98,0.13,2.39,0.91,2007
25,Call of Duty: Black Ops IIII,PS4,Shooter,9.6,9.32,4.05,0.5,3.28,1.49,2018
26,FIFA 19,PS4,Sports,9.6,9.15,0.84,0.1,6.87,1.34,2018
27,The Elder Scrolls V: Skyrim,X360,Role-Playing,9.3,8.88,5.1,0.1,2.83,0.85,2011
28,Grand Theft Auto V,XOne,Action,9.0,8.72,4.7,0.01,3.25,0.76,2014
29,Call of Duty: Infinite Warfare,PS4,Shooter,7.9,8.48,3.11,0.19,3.83,1.36,2016
30,Fallout 4,PS4,Role-Playing,8.6,8.48,2.91,0.27,3.97,1.34,2015
31,FIFA 16,PS4,Sports,8.5,8.22,1.15,0.07,5.77,1.23,2015
32,Star Wars Battlefront (2015),PS4,Shooter,7.1,8.03,3.31,0.23,3.19,1.3,2015
33,FIFA 13,PS3,Sports,7.1,8.01,1.07,0.13,5.13,1.68,2012
34,The Sims 3,PC,Simulation,8.5,7.96,1.01,0.0,6.46,0.5,2009
35,Grand Theft Auto: Liberty City Stories,PSP,Action,8.8,7.72,2.9,0.24,2.83,1.74,2005
36,Call of Duty: Advanced Warfare,PS4,Shooter,8.5,7.53,2.84,0.14,3.34,1.22,2014
37,Call of Duty: World at War,X360,Shooter,8.5,7.5,4.88,0.0,1.91,0.71,2008
38,Call of Duty: Black Ops 3,XOne,Shooter,8.5,7.37,4.63,0.02,2.04,0.68,2015
39,Battlefield 3,X360,Shooter,8.5,7.35,4.47,0.06,2.12,0.69,2011
40,Battlefield 1,PS4,Shooter,9.1,7.26,2.2,0.29,3.65,1.12,2016
41,Battlefield 3,PS3,Shooter,8.5,7.21,2.86,0.35,2.94,1.07,2011
42,Need for Speed Underground,PS2,Racing,8.6,7.2,3.27,0.08,2.83,1.02,2003
43,Need for Speed Underground 2,PS2,Racing,8.3,6.9,2.71,0.08,3.02,1.09,2004
44,Just Dance 4,Wii,Music,8.3,6.89,4.05,0.0,2.21,0.62,2012
45,Medal of Honor: Frontline,PS2,Shooter,9.0,6.83,2.93,0.17,2.75,0.99,2002
46,Uncharted 2: Among Thieves,PS3,Action,9.5,6.74,3.28,0.21,2.22,1.02,2009
47,Call of Duty 4: Modern Warfare,PS3,Shooter,9.5,6.72,3.13,0.28,2.27,1.04,2007
48,FIFA Soccer 12,PS3,Sports,9.2,6.65,0.84,0.11,4.33,1.37,2011
49,FIFA 14,PS3,Sports,9.2,6.61,0.79,0.07,4.77,0.98,2013
50,Red Dead Redemption,PS3,Action,9.5,6.57,2.82,0.17,2.58,1.0,2011
51,Red Dead Redemption,X360,Action,9.5,6.5,3.77,0.09,2.03,0.6,2010
52,Assassin's Creed III,PS3,Action-Adventure,8.8,6.5,2.65,0.16,2.61,1.08,2012
53,The Elder Scrolls V: Skyrim,PS3,Role-Playing,9.0,6.49,2.57,0.25,2.68,0.99,2011
54,Minecraft,PS4,Misc,9.4,6.33,1.89,0.35,3.13,0.96,2014
55,FIFA 15,PS4,Sports,8.1,6.32,0.83,0.05,4.49,0.94,2014
56,Driver,PS,Action,8.5,6.27,3.11,0.02,2.8,0.33,1999
57,Call of Duty: WWII,XOne,Shooter,8.5,6.23,3.75,0.0,1.91,0.57,2017
58,Minecraft,PS3,Misc,8.5,6.05,2.21,0.0,2.86,0.99,2014
59,Red Dead Redemption 2,XOne,Action-Adventure,8.5,5.77,3.76,0.0,1.47,0.54,2018
60,Destiny,PS4,Shooter,8.5,5.76,2.53,0.16,2.13,0.94,2014
61,Tekken 2,PS,Fighting,9.1,5.74,2.26,1.36,1.89,0.23,1996
62,LEGO Star Wars: The Complete Saga,Wii,Action,8.0,5.66,3.57,0.0,1.57,0.52,2007
63,Cooking Mama,DS,Simulation,6.6,5.66,3.09,0.07,1.92,0.58,2006
64,Assassin's Creed II,PS3,Action,9.0,5.57,2.54,0.21,1.95,0.86,2009
65,Assassin's Creed,X360,Action,8.2,5.55,3.28,0.07,1.64,0.56,2007
66,Batman: Arkham City,PS3,Action,9.6,5.54,2.72,0.11,1.89,0.82,2011
67,Forza Motorsport 3,X360,Racing,9.2,5.5,2.99,0.1,1.9,0.51,2009
68,Call of Duty: World at War,PS3,Shooter,8.4,5.43,2.75,0.0,1.84,0.84,2008
69,Minecraft,XOne,Misc,8.4,5.43,3.23,0.0,1.71,0.49,2014
70,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,6.9,5.42,2.07,0.24,2.29,0.82,2001
71,Final Fantasy XIII,PS3,Role-Playing,8.0,5.35,1.75,1.87,1.23,0.51,2010
72,Assassin's Creed III,X360,Action-Adventure,8.0,5.31,3.13,0.03,1.71,0.45,2012
73,Assassin's Creed II,X360,Action,9.1,5.3,3.14,0.08,1.55,0.52,2009
74,Tomb Raider II,PS,Adventure,7.6,5.24,2.3,0.2,2.46,0.28,1997
75,Madden NFL 2004,PS2,Sports,9.5,5.23,4.26,0.01,0.26,0.71,2003
76,Call of Duty: Advanced Warfare,XOne,Shooter,8.3,5.22,3.25,0.01,1.49,0.48,2014
77,Medal of Honor: Rising Sun,PS2,Shooter,5.9,5.13,1.98,0.13,2.23,0.8,2003
78,Battlefield 1,XOne,Shooter,9.3,5.13,3.37,0.02,1.26,0.48,2016
79,Microsoft Flight Simulator,PC,Simulation,7.0,5.12,3.22,0.0,1.69,0.2,1996
80,Guitar Hero II,PS2,Misc,9.2,5.12,3.81,0.0,0.63,0.68,2006
81,FIFA 13,X360,Sports,9.2,5.11,1.1,0.03,3.49,0.5,2012
82,Mario & Sonic at the Olympic Games,DS,Sports,7.0,5.1,1.63,0.44,2.46,0.57,2008
83,Fable III,X360,Role-Playing,7.8,5.1,3.59,0.05,1.09,0.37,2010
84,Resident Evil 5,PS3,Action,8.6,5.1,1.96,1.08,1.42,0.64,2009
85,FIFA Soccer 11,PS3,Sports,8.7,5.08,0.61,0.06,3.28,1.12,2010
86,Grand Theft Auto: Vice City Stories,PSP,Action,8.4,5.08,1.7,0.16,2.03,1.19,2006
87,Final Fantasy XV,PS4,Role-Playing,8.1,5.07,1.81,1.05,1.53,0.68,2016
88,Fallout 4,XOne,Role-Playing,8.4,5.03,2.94,0.02,1.62,0.45,2015
89,Tony Hawk's Pro Skater,PS,Sports,9.6,5.02,3.42,0.02,1.38,0.2,1999
90,Warzone 2100,PS,Strategy,9.6,5.01,2.79,0.0,1.89,0.33,1999
91,Guitar Hero III: Legends of Rock,PS2,Misc,8.2,4.98,3.49,0.01,0.01,1.48,2007
92,Uncharted: Drake's Fortune,PS3,Action,8.7,4.97,2.32,0.12,1.73,0.8,2007
93,Fallout 3,X360,Role-Playing,9.0,4.96,3.41,0.09,0.99,0.46,2008
94,Madden NFL 06,PS2,Sports,9.1,4.91,3.98,0.01,0.26,0.66,2005
95,Call of Duty: Black Ops IIII,XOne,Shooter,9.1,4.85,3.27,0.0,1.12,0.46,2018
96,Assassin's Creed,PS3,Action,8.2,4.83,1.91,0.09,2.01,0.82,2007
97,Crash Bandicoot N. Sane Trilogy,PS4,Platform,8.2,4.83,1.09,0.07,2.92,0.74,2017
98,Call of Duty: Infinite Warfare,XOne,Shooter,8.2,4.79,2.91,0.0,1.44,0.44,2016
99,Crash Team Racing,PS,Racing,9.2,4.79,2.57,0.44,1.57,0.21,1999
100,LEGO Star Wars: The Complete Saga,DS,Action,7.8,4.77,2.83,0.0,1.49,0.45,2007
101,Batman: Arkham City,X360,Action,9.5,4.75,2.99,0.04,1.28,0.44,2011
102,Driver 2,PS,Action,7.0,4.73,2.36,0.02,2.1,0.25,2000
103,The Simpsons: Hit & Run,PS2,Racing,7.7,4.7,1.73,0.0,2.19,0.79,2003
104,Tony Hawk's Pro Skater 2,PS,Sports,9.3,4.68,3.05,0.02,1.41,0.2,2000
105,The Lord of the Rings: The Two Towers,PS2,Action,8.3,4.67,1.94,0.08,1.95,0.7,2002
106,Tomb Raider,PS,Action,8.9,4.63,2.29,0.13,1.97,0.24,1996
107,Forza Motorsport 4,X360,Racing,9.1,4.6,2.08,0.06,1.98,0.49,2011
108,Guitar Hero III: Legends of Rock,Wii,Misc,8.6,4.6,3.04,0.0,1.12,0.44,2007
109,FIFA 15,PS3,Sports,6.9,4.56,0.59,0.04,3.25,0.68,2014
110,Mario & Sonic at the Olympic Winter Games,Wii,Sports,6.8,4.54,1.87,0.22,1.97,0.48,2009
111,Overwatch,PS4,Shooter,8.8,4.54,1.84,0.17,1.8,0.73,2016
112,Guitar Hero III: Legends of Rock,X360,Misc,8.7,4.53,3.19,0.01,0.91,0.42,2007
113,Star Wars Battlefront II (2017),PS4,Shooter,8.7,4.53,1.7,0.12,1.99,0.73,2017
114,Madden NFL 2005,PS2,Sports,9.5,4.53,4.18,0.01,0.26,0.08,2004
115,Spider-Man: The Movie,PS2,Action,8.2,4.48,2.71,0.03,1.51,0.23,2002
116,The Elder Scrolls IV: Oblivion,X360,Role-Playing,9.2,4.47,2.89,0.13,1.03,0.41,2009
117,Tony Hawk's Pro Skater 3,PS2,Sports,9.1,4.41,2.66,0.01,1.29,0.46,2001
118,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,8.8,4.39,0.1,1.05,2.39,0.86,2007
119,Tom Clancy's The Division,PS4,Shooter,8.8,4.37,1.49,0.16,2.04,0.69,2016
120,Need for Speed: Most Wanted,PS2,Racing,8.6,4.37,2.03,0.08,1.79,0.47,2005
121,Michael Jackson: The Experience,Wii,Misc,5.6,4.37,2.64,0.01,1.33,0.39,2010
122,Tom Clancy's Rainbow Six: Siege,PS4,Shooter,5.6,4.36,1.29,0.36,2.06,0.64,2015
123,Call of Duty: Advanced Warfare,X360,Shooter,9.1,4.34,2.81,0.0,1.13,0.41,2014
124,Watch Dogs,PS4,Action-Adventure,9.1,4.32,1.4,0.11,2.13,0.68,2014
125,Asteroids,2600,Shooter,9.1,4.31,4.0,0.0,0.26,0.05,1981
126,Batman: Arkham Asylum,PS3,Action,9.0,4.28,2.26,0.07,1.33,0.63,2009
127,Call of Duty: Advanced Warfare,PS3,Shooter,9.1,4.27,1.59,0.2,1.81,0.67,2014
128,Namco Museum,GBA,Misc,9.1,4.24,3.0,0.05,1.11,0.07,2001
129,Assassin's Creed: Revelations,PS3,Action,8.8,4.23,1.41,0.1,2.03,0.69,2011
130,Assassin's Creed: Revelations,X360,Action,7.9,4.22,2.28,0.04,1.47,0.44,2011
131,FIFA Soccer 06,PS2,Sports,8.4,4.21,0.78,0.04,2.55,0.84,2005
132,Street Fighter IV,PS3,Fighting,9.3,4.19,2.04,0.59,1.05,0.52,2009
133,FIFA Soccer 12,X360,Sports,9.2,4.18,0.85,0.02,2.79,0.52,2011
134,Call of Duty: Ghosts,PS4,Shooter,7.5,4.17,1.79,0.05,1.64,0.69,2013
135,Teenage Mutant Ninja Turtles,NES,Platform,5.9,4.17,3.38,0.31,0.44,0.04,1989
136,Frogger,PS,Action,5.9,4.16,3.79,0.0,0.27,0.11,1997
137,FIFA 14,X360,Sports,5.9,4.15,0.94,0.01,2.92,0.29,2013
138,Star Wars Battlefront (2015),XOne,Shooter,6.9,4.15,2.49,0.02,1.26,0.38,2015
139,Madden NFL 2003,PS2,Sports,9.4,4.14,3.36,0.01,0.21,0.56,2002
140,Assassin's Creed: Unity,PS4,Action,9.4,4.14,1.25,0.09,2.16,0.65,2014
141,Destiny 2,PS4,Shooter,9.4,4.14,1.92,0.1,1.44,0.69,2017
142,FIFA 07 Soccer,PS2,Sports,8.4,4.11,0.71,0.03,2.48,0.89,2006
143,Batman: Arkham Knight,PS4,Action,8.1,4.11,1.65,0.11,1.68,0.66,2015
144,The Sims 4,PC,Simulation,7.0,4.1,1.2,0.0,2.6,0.3,2014
145,Fallout: New Vegas,X360,Role-Playing,8.2,4.08,2.67,0.04,1.03,0.34,2010
146,Carnival Games,Wii,Misc,4.2,4.06,2.12,0.05,1.47,0.42,2007
147,Far Cry 4,PS4,Shooter,8.4,4.06,1.18,0.11,2.14,0.63,2014
148,Assassin's Creed Origins,PS4,Action,8.4,4.06,1.22,0.11,2.11,0.63,2017
149,World Soccer Winning Eleven 9,PS2,Sports,8.9,4.06,0.12,0.9,2.26,0.77,2006
150,Forza Motorsport 2,X360,Racing,9.1,4.05,2.35,0.03,1.27,0.41,2007
151,Namco Museum Vol.3,PS,Misc,9.1,4.05,2.28,0.16,1.55,0.06,1997
152,Tekken Tag Tournament,PS2,Fighting,8.7,4.05,1.68,0.51,1.51,0.35,2000
153,Fallout 3,PS3,Role-Playing,8.8,4.0,2.18,0.07,1.15,0.61,2008
154,The Elder Scrolls V: Skyrim,PC,Role-Playing,9.2,3.99,1.18,0.0,2.25,0.56,2011
155,NBA 2K16,PS4,Sports,8.7,3.98,2.56,0.05,0.66,0.71,2015
156,Namco Museum: 50th Anniversary,PS2,Misc,8.7,3.98,2.08,0.0,1.35,0.54,2005
157,Far Cry 5,PS4,Action,7.9,3.95,1.44,0.15,1.73,0.62,2018
158,Battlefield 4,PS4,Shooter,8.3,3.94,1.4,0.19,1.74,0.62,2013
159,Assassin's Creed IV: Black Flag,PS3,Action-Adventure,8.7,3.94,1.34,0.13,1.86,0.62,2013
160,Tony Hawk's Underground,PS2,Sports,8.7,3.9,2.29,0.01,1.17,0.42,2003
161,Just Dance 2014,Wii,Music,7.4,3.89,1.91,0.0,1.66,0.33,2013
162,Sports Champions,PS3,Sports,7.6,3.88,2.15,0.1,1.13,0.5,2010
163,World Soccer Winning Eleven 8 International,PS2,Sports,9.3,3.85,0.16,1.12,1.89,0.68,2005
164,Namco Museum Vol.1,PS,Misc,9.3,3.84,2.12,0.22,1.44,0.06,1996
165,LEGO Indiana Jones: The Original Adventures,X360,Adventure,7.5,3.76,2.4,0.0,1.01,0.36,2008
166,The Sims: Unleashed,PC,Simulation,7.3,3.76,2.03,0.0,1.56,0.17,2002
167,Ratchet & Clank: Size Matters,PSP,Platform,8.5,3.75,1.4,0.1,1.4,0.86,2007
168,FIFA 17,XOne,Sports,8.8,3.71,1.04,0.0,2.4,0.27,2016
169,FIFA Soccer 2005,PS2,Sports,8.4,3.7,0.58,0.04,2.48,0.59,2004
170,Tony Hawk's Pro Skater 4,PS2,Sports,9.6,3.67,2.13,0.01,1.18,0.35,2002
171,MySims,DS,Simulation,6.7,3.66,1.58,0.08,1.6,0.4,2007
172,Midnight Club 3: DUB Edition,PSP,Racing,7.2,3.66,1.65,0.0,1.22,0.79,2005
173,SOCOM: U.S. Navy SEALs,PS2,Shooter,8.0,3.65,2.53,0.06,0.81,0.24,2002
174,Battlefield 4,PS3,Shooter,8.7,3.64,1.31,0.27,1.5,0.55,2013
175,Jak and Daxter: The Precursor Legacy,PS2,Platform,9.0,3.64,2.08,0.15,1.09,0.33,2001
176,Pro Evolution Soccer 2008,PS2,Sports,8.2,3.63,0.05,0.64,0.0,2.93,2008
177,FIFA Soccer 10,PS3,Sports,9.0,3.63,0.6,0.05,2.46,0.52,2009
178,Guitar Hero: World Tour,Wii,Misc,8.4,3.62,2.32,0.0,0.96,0.34,2008
179,The Simpsons: Road Rage,PS2,Racing,6.1,3.61,2.02,0.0,1.17,0.42,2001
180,Star Wars Battlefront,PS2,Shooter,8.1,3.61,1.93,0.03,1.22,0.44,2004
181,Doom II,PC,Shooter,9.3,3.61,2.05,0.0,1.4,0.16,1994
182,Assassin's Creed Syndicate,PS4,Action,8.6,3.6,0.9,0.08,2.06,0.55,2015
183,Star Wars Battlefront II,PS2,Shooter,8.5,3.59,2.18,0.03,1.02,0.37,2005
184,Assassin's Creed: Unity,XOne,Action,8.5,3.58,2.34,0.0,0.9,0.34,2014
185,WWF SmackDown!,PS,Fighting,8.5,3.58,2.01,0.06,1.35,0.16,2000
186,Cooking Mama 2: Dinner With Friends,DS,Simulation,6.9,3.58,1.6,0.1,1.49,0.39,2007
187,The Getaway,PS2,Action,7.7,3.54,1.23,0.05,1.77,0.49,2003
188,Tomb Raider III: Adventures of Lara Croft,PS,Adventure,8.2,3.54,1.66,0.12,1.58,0.18,1998
189,Grand Theft Auto: Liberty City Stories,PS2,Action,8.3,3.54,1.56,0.07,1.4,0.5,2006
190,Battlefield 4,X360,Shooter,8.7,3.54,2.16,0.02,1.05,0.32,2013
191,Batman: Arkham Asylum,X360,Action,9.1,3.54,2.24,0.02,0.95,0.33,2009
192,Resident Evil 5,X360,Action,8.6,3.53,2.13,0.12,0.93,0.34,2009
193,Assassin's Creed: Brotherhood,X360,Action,9.1,3.53,2.87,0.03,0.39,0.25,2010
194,LEGO Star Wars: The Video Game,PS2,Action,7.9,3.53,1.98,0.01,1.14,0.41,2005
195,James Bond 007: Agent Under Fire,PS2,Shooter,7.9,3.53,1.9,0.1,1.13,0.41,2001
196,Rugrats in Paris: The Movie,PS,Action,7.9,3.52,1.96,0.0,1.33,0.23,2000
197,FIFA Soccer 11,X360,Sports,8.7,3.52,0.71,0.02,2.39,0.4,2010
198,NBA 2K17,PS4,Sports,9.0,3.52,2.28,0.03,0.59,0.63,2016
199,Mortal Kombat X,PS4,Fighting,9.0,3.49,1.94,0.0,0.94,0.61,2015
200,FIFA Soccer 2004,PS2,Sports,8.0,3.49,0.59,0.04,2.36,0.51,2003
201,Borderlands,X360,Shooter,8.3,3.48,2.43,0.03,0.72,0.3,2009
202,Battlefield: Bad Company 2,X360,Shooter,9.0,3.48,2.11,0.04,1.01,0.33,2010
203,Mario & Sonic at the Olympic Winter Games,DS,Sports,7.6,3.47,1.21,0.27,1.63,0.37,2009
204,Guitar Hero: On Tour,DS,Misc,7.1,3.46,2.1,0.01,1.01,0.35,2008
205,Tekken 4,PS2,Fighting,7.9,3.44,1.55,0.33,1.27,0.29,2002
206,LEGO Batman: The Videogame,X360,Adventure,7.5,3.44,2.07,0.0,1.04,0.34,2008
207,Halo: The Master Chief Collection,XOne,Shooter,8.8,3.44,2.06,0.03,1.04,0.31,2014
208,LittleBigPlanet 2,PS3,Platform,9.1,3.43,1.83,0.06,1.07,0.47,2011
209,FIFA 14,PS4,Sports,9.1,3.43,0.62,0.12,2.18,0.51,2013
210,Grand Theft Auto 2,PS,Action,6.9,3.42,1.13,0.0,2.07,0.22,1999
211,Destiny,XOne,Shooter,8.3,3.41,2.17,0.0,0.92,0.32,2014
212,Spider-Man 2,PS2,Action,7.9,3.41,1.75,0.02,1.2,0.43,2004
213,FIFA Soccer 2003,PS2,Sports,7.9,3.4,0.46,0.05,2.28,0.61,2002
214,Crash Bash,PS,Misc,6.8,3.39,1.56,0.19,1.47,0.17,2000
215,Gears of War 4,XOne,Shooter,6.8,3.38,2.17,0.0,0.9,0.32,2016
216,The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,8.3,3.36,1.24,0.08,1.5,0.54,2016
217,Watch Dogs 2,PS4,Action,8.3,3.36,0.98,0.12,1.74,0.52,2016
218,WWF War Zone,PS,Fighting,8.3,3.36,2.47,0.0,0.76,0.13,1998
219,Assassin's Creed IV: Black Flag,X360,Action-Adventure,8.5,3.34,1.9,0.01,1.14,0.3,2013
220,NBA 2K18,PS4,Sports,8.1,3.34,2.13,0.04,0.57,0.59,2017
221,James Bond 007: Nightfire,PS2,Shooter,8.1,3.33,1.45,0.12,1.29,0.46,2002
222,Star Wars Episode III: Revenge of the Sith,PS2,Action,8.1,3.32,1.47,0.03,1.39,0.43,2005
223,Max Payne,PS2,Shooter,8.1,3.31,1.99,0.05,1.05,0.22,2001
224,Madden NFL 16,PS4,Sports,8.2,3.3,2.39,0.0,0.31,0.61,2015
225,The Lord of the Rings: The Return of the King,PS2,Action,8.4,3.28,1.5,0.05,1.28,0.46,2003
226,Madden NFL 17,PS4,Sports,8.5,3.28,2.3,0.0,0.37,0.6,2016
227,Gran Turismo (PSP),PSP,Racing,8.5,3.27,0.51,0.31,1.59,0.86,2009
228,Far Cry 3,PS3,Shooter,8.5,3.27,0.88,0.1,1.79,0.5,2012
229,True Crime: Streets of LA,PS2,Action,8.5,3.27,1.89,0.02,1.05,0.31,2003
230,FIFA 16,XOne,Sports,8.5,3.25,0.92,0.0,2.1,0.24,2015
231,L.A. Noire,PS3,Adventure,9.1,3.21,1.29,0.12,1.31,0.49,2011
232,007: Tomorrow Never Dies,PS,Shooter,6.2,3.21,1.72,0.0,1.33,0.16,1999
233,WWF SmackDown! 2: Know Your Role,PS,Fighting,8.7,3.2,1.76,0.07,1.21,0.16,2000
234,Assassin's Creed IV: Black Flag,PS4,Action-Adventure,8.3,3.19,1.07,0.06,1.55,0.51,2013
235,Enter the Matrix,PS2,Action,8.3,3.18,1.78,0.09,1.12,0.19,2003
236,Assassin's Creed Odyssey,PS4,Action-Adventure,9.5,3.18,1.18,0.09,1.4,0.51,2018
237,Fallout: New Vegas,PS3,Role-Playing,8.2,3.17,1.54,0.1,1.04,0.49,2010
238,FIFA Soccer 08,PS2,Sports,8.2,3.14,0.68,0.0,0.0,2.46,2007
239,Club Penguin: Elite Penguin Force,DS,Adventure,7.0,3.14,1.87,0.0,0.97,0.3,2008
240,FIFA 18,XOne,Sports,8.0,3.14,0.98,0.0,1.92,0.23,2017
241,Spider-Man,PS,Action,8.0,3.13,1.7,0.02,1.25,0.16,2000
242,The Elder Scrolls IV: Oblivion,PS3,Role-Playing,9.3,3.12,1.69,0.14,0.86,0.44,2007
243,Resident Evil 6,PS3,Action,9.3,3.12,0.88,0.88,0.97,0.39,2012
244,Need for Speed III: Hot Pursuit,PS,Racing,9.3,3.12,2.14,0.0,0.86,0.13,1998
245,Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,7.0,3.12,1.07,0.22,1.35,0.47,2017
246,Titanfall,XOne,Shooter,7.0,3.11,1.88,0.04,0.91,0.28,2014
247,NBA 2K13,X360,Sports,8.6,3.11,2.62,0.01,0.21,0.28,2012
248,Mass Effect 2,X360,Role-Playing,9.5,3.1,1.99,0.03,0.81,0.27,2010
249,LEGO Batman: The Videogame,Wii,Adventure,7.3,3.08,1.8,0.0,0.98,0.29,2008
250,Madden NFL 2002,PS2,Sports,7.3,3.08,2.5,0.01,0.16,0.42,2001
251,Saints Row 2,X360,Action,7.9,3.07,1.98,0.02,0.79,0.28,2008
252,Call of Duty: Ghosts,XOne,Shooter,7.5,3.07,1.92,0.0,0.86,0.28,2013
253,The Sims: Vacation,PC,Simulation,7.5,3.07,1.72,0.0,1.21,0.14,2002
254,Borderlands 2,X360,Shooter,7.5,3.06,1.89,0.04,0.88,0.26,2013
255,LEGO Batman: The Videogame,DS,Adventure,7.8,3.06,1.75,0.0,1.02,0.29,2008
256,Kung Fu Panda,X360,Platform,7.5,3.05,1.91,0.0,0.84,0.29,2008
257,Metal Gear Solid V: The Phantom Pain,PS4,Action,7.5,3.04,0.97,0.5,1.15,0.42,2015
258,Mass Effect 3,X360,Role-Playing,9.5,3.04,1.94,0.03,0.84,0.24,2012
259,Rayman,PS,Platform,7.0,3.03,1.54,0.0,1.33,0.16,1995
260,Tom Clancy's Splinter Cell,XB,Action,9.3,3.02,1.85,0.0,1.04,0.13,2002
261,WWE SmackDown! vs. Raw 2006,PS2,Fighting,8.4,3.0,1.57,0.0,1.02,0.41,2005
262,The Sims: Livin Large,PC,Misc,8.4,2.99,1.67,0.0,1.18,0.13,2000
263,World Soccer Winning Eleven 6 International,PS2,Sports,8.4,2.99,0.12,1.16,1.26,0.45,2003
264,Far Cry 3,X360,Shooter,8.4,2.98,1.38,0.02,1.33,0.25,2012
265,Hitman 2: Silent Assassin,PS2,Action,8.4,2.96,1.36,0.04,1.15,0.41,2002
266,Battlefield: Bad Company 2,PS3,Shooter,8.9,2.96,1.33,0.08,1.11,0.44,2010
267,Street Fighter IV,X360,Fighting,9.3,2.95,1.83,0.15,0.7,0.26,2009
268,WWE SmackDown! vs. RAW 2006,PS2,Fighting,9.3,2.94,1.45,0.04,1.11,0.33,2005
269,Pac-Man Collection,GBA,Puzzle,9.3,2.94,2.07,0.05,0.77,0.05,2001
270,Madden NFL 13,X360,Sports,8.0,2.93,2.53,0.0,0.16,0.24,2012
271,Doom (2016),PS4,Shooter,8.0,2.92,0.93,0.04,1.48,0.46,2016
272,FIFA 15,X360,Sports,6.9,2.91,0.8,0.0,1.9,0.21,2014
273,Mass Effect,X360,Role-Playing,9.2,2.91,1.83,0.03,0.79,0.27,2007
274,Mortal Kombat (2011),PS3,Fighting,8.5,2.9,1.98,0.0,0.54,0.38,2011
275,Call of Duty: Finest Hour,PS2,Shooter,8.5,2.89,1.51,0.01,1.12,0.24,2004
276,Cooking Mama: Cook Off,Wii,Simulation,5.9,2.89,1.41,0.05,1.12,0.3,2007
277,Sega Superstars Tennis,X360,Sports,6.9,2.89,1.75,0.0,0.86,0.28,2008
278,Hot Shots Golf 3,PS2,Sports,6.9,2.89,0.99,1.38,0.32,0.2,2002
279,Imagine: Babyz,DS,Simulation,3.5,2.87,1.3,0.0,1.26,0.31,2007
280,Colin McRae Rally,PS,Racing,7.9,2.87,0.09,0.12,2.43,0.22,2000
281,Mafia III,PS4,Action-Adventure,6.9,2.87,0.72,0.04,1.67,0.44,2016
