Campaign_ID,Conversion_Rate,ROI,Location,Language,Engagement_Score_Segment
185,0.14,7.27,Chicago,Mandarin,Greater than or equal to 7
188,0.11,7.8,Chicago,German,Greater than or equal to 7
190,0.06,5.46,Chicago,German,Greater than or equal to 7
191,0.12,2.46,Chicago,German,Greater than or equal to 7
194,0.1,4.28,New York,Mandarin,Greater than or equal to 7
195,0.07,3.62,Chicago,Spanish,Greater than or equal to 7
196,0.02,7.31,Houston,Mandarin,Greater than or equal to 7
200,0.02,2.63,Chicago,English,Greater than or equal to 7
202,0.13,5.83,Chicago,French,Greater than or equal to 7
203,0.1,7.27,Los Angeles,Spanish,Greater than or equal to 7
204,0.15,7.51,Los Angeles,French,Greater than or equal to 7
205,0.11,7.49,Chicago,Mandarin,Greater than or equal to 7
208,0.11,2.87,Los Angeles,English,Greater than or equal to 7
209,0.11,3.66,Chicago,English,Greater than or equal to 7
210,0.08,2.81,Los Angeles,Mandarin,Greater than or equal to 7
211,0.08,7.94,Chicago,Spanish,Greater than or equal to 7
217,0.11,6.06,Houston,English,Greater than or equal to 7
219,0.08,3.91,Los Angeles,Spanish,Greater than or equal to 7
220,0.03,8,New York,Mandarin,Greater than or equal to 7
225,0.12,6.8,Houston,English,Greater than or equal to 7
237,0.14,5.12,Chicago,German,Greater than or equal to 7
240,0.1,5.75,Los Angeles,Spanish,Greater than or equal to 7
247,0.15,6.53,New York,Spanish,Greater than or equal to 7
248,0.15,3.26,Chicago,Mandarin,Greater than or equal to 7
250,0.13,5.25,Chicago,Mandarin,Greater than or equal to 7
251,0.1,2.15,New York,French,Greater than or equal to 7
253,0.08,4.24,Houston,French,Greater than or equal to 7
254,0.07,4.55,Los Angeles,English,Greater than or equal to 7
256,0.08,2.27,Miami,Spanish,Greater than or equal to 7
257,0.02,6.92,New York,German,Greater than or equal to 7
263,0.12,6.44,Chicago,Mandarin,Greater than or equal to 7
264,0.05,3.16,Houston,French,Greater than or equal to 7
265,0.07,3.29,Houston,French,Greater than or equal to 7
267,0.07,4.52,Houston,German,Greater than or equal to 7
270,0.03,3.54,New York,Mandarin,Greater than or equal to 7
273,0.06,7.62,Los Angeles,German,Greater than or equal to 7
275,0.06,7.56,Houston,Mandarin,Greater than or equal to 7
278,0.03,5.48,Houston,Mandarin,Greater than or equal to 7
279,0.14,7.56,Miami,German,Greater than or equal to 7
280,0.02,6.62,Los Angeles,German,Greater than or equal to 7
287,0.14,7.08,Chicago,Spanish,Greater than or equal to 7
295,0.05,2.09,Los Angeles,German,Greater than or equal to 7
296,0.06,5.09,Houston,German,Greater than or equal to 7
297,0.05,7.2,Los Angeles,Spanish,Greater than or equal to 7
300,0.06,7.99,Chicago,German,Greater than or equal to 7
305,0.1,2.94,Los Angeles,German,Greater than or equal to 7
306,0.09,4.71,Miami,English,Greater than or equal to 7
307,0.03,6.02,New York,English,Greater than or equal to 7
309,0.1,5.4,Miami,Mandarin,Greater than or equal to 7
313,0.11,7.9,Chicago,German,Greater than or equal to 7
314,0.09,4.02,Houston,French,Greater than or equal to 7
318,0.06,2.69,Chicago,French,Greater than or equal to 7
319,0.15,4.24,Los Angeles,English,Greater than or equal to 7
321,0.13,2.46,New York,German,Greater than or equal to 7
328,0.01,5.22,Miami,German,Greater than or equal to 7
329,0.08,5.32,Los Angeles,English,Greater than or equal to 7
330,0.1,6.4,Houston,Mandarin,Greater than or equal to 7
332,0.06,2.28,Chicago,English,Greater than or equal to 7
333,0.13,5.27,Houston,English,Greater than or equal to 7
334,0.04,4.99,Los Angeles,English,Greater than or equal to 7
336,0.07,4.14,Los Angeles,English,Greater than or equal to 7
337,0.02,3.92,Houston,French,Greater than or equal to 7
338,0.02,7.34,New York,French,Greater than or equal to 7
340,0.13,2.59,Miami,Spanish,Greater than or equal to 7
344,0.02,5.82,Los Angeles,German,Greater than or equal to 7
353,0.13,2.4,Los Angeles,English,Greater than or equal to 7
356,0.06,6.38,Houston,French,Greater than or equal to 7
357,0.11,3.44,New York,French,Greater than or equal to 7
358,0.12,3.46,Chicago,German,Greater than or equal to 7
361,0.13,3,Miami,English,Greater than or equal to 7
366,0.07,7.14,New York,Mandarin,Greater than or equal to 7
370,0.12,7.61,New York,German,Greater than or equal to 7
373,0.14,3.96,Houston,French,Greater than or equal to 7
381,0.05,3.42,Chicago,German,Greater than or equal to 7
383,0.04,3.44,Los Angeles,Spanish,Greater than or equal to 7
384,0.04,6.74,New York,French,Greater than or equal to 7
387,0.08,2.81,Houston,English,Greater than or equal to 7
388,0.14,7.76,Los Angeles,Mandarin,Greater than or equal to 7
390,0.04,3.98,Chicago,Spanish,Greater than or equal to 7
393,0.07,5.83,Miami,English,Greater than or equal to 7
394,0.03,4.06,Chicago,Spanish,Greater than or equal to 7
395,0.12,4.46,Miami,French,Greater than or equal to 7
398,0.12,3.16,Chicago,English,Greater than or equal to 7
401,0.08,5.55,Houston,Spanish,Greater than or equal to 7
404,0.12,7.69,New York,English,Greater than or equal to 7
407,0.13,2.15,Chicago,Spanish,Greater than or equal to 7
409,0.09,4.64,Houston,German,Greater than or equal to 7
410,0.15,5.32,Houston,Mandarin,Greater than or equal to 7
413,0.01,6.43,New York,German,Greater than or equal to 7
415,0.07,7.97,Chicago,Mandarin,Greater than or equal to 7
416,0.04,4.98,Chicago,German,Greater than or equal to 7
418,0.09,2.32,Los Angeles,English,Greater than or equal to 7
422,0.1,2.76,Los Angeles,Mandarin,Greater than or equal to 7
423,0.01,4.39,Houston,German,Greater than or equal to 7
424,0.07,6.6,Miami,English,Greater than or equal to 7
427,0.02,5.5,Miami,Spanish,Greater than or equal to 7
428,0.07,4.73,Los Angeles,Mandarin,Greater than or equal to 7
430,0.08,7.34,New York,French,Greater than or equal to 7
431,0.07,7.25,Los Angeles,German,Greater than or equal to 7
433,0.01,3.46,Los Angeles,Mandarin,Greater than or equal to 7
434,0.08,6.26,New York,German,Greater than or equal to 7
442,0.15,2.64,Chicago,Mandarin,Greater than or equal to 7
443,0.07,7.39,Miami,German,Greater than or equal to 7
446,0.09,5.1,Los Angeles,Mandarin,Greater than or equal to 7
447,0.11,5.82,Houston,Spanish,Greater than or equal to 7
448,0.04,3.56,Miami,Mandarin,Greater than or equal to 7
452,0.04,5.87,Los Angeles,Mandarin,Greater than or equal to 7
453,0.02,4.19,Miami,French,Greater than or equal to 7
458,0.02,6.29,Chicago,Spanish,Greater than or equal to 7
459,0.03,3.92,Los Angeles,German,Greater than or equal to 7
465,0.05,6.53,New York,Mandarin,Greater than or equal to 7
467,0.1,6.95,New York,Spanish,Greater than or equal to 7
470,0.14,2.26,Miami,Mandarin,Greater than or equal to 7
473,0.15,4.71,Chicago,German,Greater than or equal to 7
475,0.03,3.83,New York,Spanish,Greater than or equal to 7
480,0.11,4.65,Chicago,Mandarin,Greater than or equal to 7
484,0.03,6.93,Miami,Spanish,Greater than or equal to 7
485,0.06,4.15,New York,Spanish,Greater than or equal to 7
487,0.14,6.35,Chicago,Mandarin,Greater than or equal to 7
488,0.05,7.56,Los Angeles,German,Greater than or equal to 7
491,0.07,4.32,Chicago,Mandarin,Greater than or equal to 7
493,0.06,2.35,Los Angeles,English,Greater than or equal to 7
503,0.14,2.56,Chicago,Spanish,Greater than or equal to 7
504,0.06,5.92,Miami,Spanish,Greater than or equal to 7
508,0.14,2.56,Houston,Spanish,Greater than or equal to 7
509,0.11,7.07,Miami,German,Greater than or equal to 7
511,0.07,7.77,New York,Mandarin,Greater than or equal to 7
512,0.07,7.67,Los Angeles,English,Greater than or equal to 7
513,0.12,3.85,New York,Spanish,Greater than or equal to 7
514,0.03,5.97,Miami,French,Greater than or equal to 7
515,0.13,6.03,Houston,Spanish,Greater than or equal to 7
517,0.02,4.91,Miami,Mandarin,Greater than or equal to 7
518,0.04,7.31,Los Angeles,English,Greater than or equal to 7
519,0.05,6.81,Chicago,English,Greater than or equal to 7
521,0.14,3.31,Chicago,French,Greater than or equal to 7
522,0.02,5.85,New York,Spanish,Greater than or equal to 7
526,0.07,4.77,Houston,German,Greater than or equal to 7
527,0.14,3.23,Miami,Spanish,Greater than or equal to 7
528,0.09,7.54,Los Angeles,Mandarin,Greater than or equal to 7
529,0.1,2.24,Chicago,German,Greater than or equal to 7
530,0.07,5.21,Miami,Spanish,Greater than or equal to 7
533,0.05,5.05,Los Angeles,French,Greater than or equal to 7
534,0.07,5.86,Los Angeles,French,Greater than or equal to 7
538,0.02,5.67,Miami,Spanish,Greater than or equal to 7
539,0.13,5.04,Los Angeles,French,Greater than or equal to 7
547,0.07,5.79,New York,Mandarin,Greater than or equal to 7
549,0.11,6.12,Miami,English,Greater than or equal to 7
553,0.04,2.81,Chicago,English,Greater than or equal to 7
555,0.02,5.29,Chicago,German,Greater than or equal to 7
559,0.03,3.1,Chicago,German,Greater than or equal to 7
560,0.1,4.82,Miami,English,Greater than or equal to 7
566,0.1,6.53,Houston,German,Greater than or equal to 7
567,0.08,4.64,Los Angeles,Spanish,Greater than or equal to 7
568,0.12,4.75,Chicago,German,Greater than or equal to 7
571,0.12,6.38,Miami,Spanish,Greater than or equal to 7
572,0.13,6.35,Chicago,English,Greater than or equal to 7
576,0.04,2.87,Houston,English,Greater than or equal to 7
577,0.14,5.45,Houston,Spanish,Greater than or equal to 7
578,0.02,2.21,Chicago,English,Greater than or equal to 7
583,0.13,5.03,Los Angeles,English,Greater than or equal to 7
584,0.07,6.02,Los Angeles,Mandarin,Greater than or equal to 7
589,0.09,6.38,Houston,Mandarin,Greater than or equal to 7
591,0.09,2.71,Miami,French,Greater than or equal to 7
593,0.08,5.47,Miami,Mandarin,Greater than or equal to 7
594,0.12,7,Los Angeles,French,Greater than or equal to 7
595,0.03,4.47,Los Angeles,French,Greater than or equal to 7
598,0.08,5.08,Miami,French,Greater than or equal to 7
600,0.12,6.01,Chicago,English,Greater than or equal to 7
602,0.02,2.01,Miami,German,Greater than or equal to 7
603,0.09,2.94,Houston,English,Greater than or equal to 7
606,0.02,3.2,New York,German,Greater than or equal to 7
607,0.02,6.98,Miami,English,Greater than or equal to 7
608,0.06,6.7,Chicago,French,Greater than or equal to 7
610,0.06,5.01,Chicago,French,Greater than or equal to 7
616,0.05,6.01,Los Angeles,English,Greater than or equal to 7
617,0.06,6.66,Miami,English,Greater than or equal to 7
618,0.08,7.12,Chicago,French,Greater than or equal to 7
620,0.11,3.89,Miami,Spanish,Greater than or equal to 7
621,0.14,7.01,Los Angeles,German,Greater than or equal to 7
622,0.11,4.04,Miami,English,Greater than or equal to 7
624,0.11,3.07,Miami,Spanish,Greater than or equal to 7
625,0.02,5.25,Houston,Spanish,Greater than or equal to 7
626,0.14,3.12,New York,French,Greater than or equal to 7
629,0.1,4.96,Miami,Mandarin,Greater than or equal to 7
633,0.13,4.76,Miami,Mandarin,Greater than or equal to 7
635,0.14,2.46,Chicago,Mandarin,Greater than or equal to 7
638,0.07,4.18,Houston,Spanish,Greater than or equal to 7
642,0.08,3.65,Chicago,French,Greater than or equal to 7
643,0.06,5.29,Miami,Spanish,Greater than or equal to 7
644,0.02,3.83,Houston,English,Greater than or equal to 7
647,0.1,4.2,Los Angeles,French,Greater than or equal to 7
650,0.12,4.56,Chicago,Spanish,Greater than or equal to 7
651,0.08,7.53,New York,German,Greater than or equal to 7
659,0.12,3.91,Houston,English,Greater than or equal to 7
661,0.11,5.04,Chicago,German,Greater than or equal to 7
665,0.11,4.84,New York,English,Greater than or equal to 7
667,0.1,5.3,Miami,French,Greater than or equal to 7
674,0.13,4.62,Chicago,Mandarin,Greater than or equal to 7
676,0.03,4.19,Miami,Mandarin,Greater than or equal to 7
677,0.05,5.73,New York,Spanish,Greater than or equal to 7
679,0.14,4.22,Los Angeles,Mandarin,Greater than or equal to 7
680,0.14,2.06,Chicago,Spanish,Greater than or equal to 7
683,0.03,7.25,Miami,Mandarin,Greater than or equal to 7
688,0.13,5.83,Houston,Mandarin,Greater than or equal to 7
692,0.05,4.5,Miami,Mandarin,Greater than or equal to 7
695,0.11,5.39,Los Angeles,English,Greater than or equal to 7
698,0.14,3.24,Los Angeles,French,Greater than or equal to 7
702,0.12,3.85,Chicago,Spanish,Greater than or equal to 7
703,0.01,4.97,Los Angeles,Mandarin,Greater than or equal to 7
704,0.12,5.85,New York,German,Greater than or equal to 7
705,0.1,4.42,Houston,Spanish,Greater than or equal to 7
706,0.01,4.52,New York,Mandarin,Greater than or equal to 7
707,0.13,5.3,New York,German,Greater than or equal to 7
709,0.12,6.41,Miami,Spanish,Greater than or equal to 7
711,0.12,2.19,Los Angeles,French,Greater than or equal to 7
712,0.14,7.12,Los Angeles,Spanish,Greater than or equal to 7
713,0.09,7.14,Los Angeles,Mandarin,Greater than or equal to 7
717,0.06,7.78,Houston,German,Greater than or equal to 7
718,0.13,2.28,Houston,German,Greater than or equal to 7
719,0.14,2.42,Chicago,French,Greater than or equal to 7
722,0.13,5.92,Los Angeles,German,Greater than or equal to 7
724,0.04,5.65,Houston,French,Greater than or equal to 7
726,0.05,3.25,Los Angeles,French,Greater than or equal to 7
728,0.06,4.8,Miami,English,Greater than or equal to 7
730,0.14,6.56,Chicago,Mandarin,Greater than or equal to 7
732,0.12,6.78,Los Angeles,French,Greater than or equal to 7
737,0.04,4.87,Miami,English,Greater than or equal to 7
738,0.12,4.88,Houston,English,Greater than or equal to 7
740,0.13,5.06,New York,Mandarin,Greater than or equal to 7
741,0.12,5.28,Houston,French,Greater than or equal to 7
743,0.06,6.02,Los Angeles,French,Greater than or equal to 7
747,0.05,4.55,Houston,French,Greater than or equal to 7
749,0.05,5.01,Miami,German,Greater than or equal to 7
750,0.15,3.51,Chicago,English,Greater than or equal to 7
751,0.09,6.19,Los Angeles,French,Greater than or equal to 7
753,0.02,6.72,Miami,French,Greater than or equal to 7
757,0.12,2.01,New York,German,Greater than or equal to 7
759,0.04,7.84,Chicago,French,Greater than or equal to 7
760,0.14,6.73,Chicago,French,Greater than or equal to 7
762,0.07,2.54,New York,French,Greater than or equal to 7
763,0.12,2.78,Miami,French,Greater than or equal to 7
765,0.09,5.33,Miami,German,Greater than or equal to 7
766,0.03,6.86,Miami,English,Greater than or equal to 7
767,0.13,5.99,Chicago,Mandarin,Greater than or equal to 7
775,0.11,5.76,Chicago,German,Greater than or equal to 7
782,0.08,7.87,New York,Spanish,Greater than or equal to 7
783,0.14,6.36,Miami,Mandarin,Greater than or equal to 7
786,0.14,6.26,Los Angeles,German,Greater than or equal to 7
789,0.07,6.88,Houston,German,Greater than or equal to 7
790,0.05,4.31,Los Angeles,Mandarin,Greater than or equal to 7
792,0.14,7.82,Houston,Spanish,Greater than or equal to 7
794,0.12,2.96,Chicago,Mandarin,Greater than or equal to 7
796,0.13,6.95,Miami,Spanish,Greater than or equal to 7
797,0.12,4.15,Houston,French,Greater than or equal to 7
799,0.06,4.41,Houston,Spanish,Greater than or equal to 7
802,0.13,3.45,Miami,Spanish,Greater than or equal to 7
804,0.07,5.01,Houston,French,Greater than or equal to 7
806,0.13,2.62,Houston,English,Greater than or equal to 7
808,0.06,5.54,Chicago,English,Greater than or equal to 7
809,0.01,4.27,New York,Spanish,Greater than or equal to 7
811,0.08,4.55,Los Angeles,German,Greater than or equal to 7
814,0.02,2.79,Los Angeles,English,Greater than or equal to 7
816,0.12,7.54,Miami,English,Greater than or equal to 7
824,0.14,4.26,Miami,French,Greater than or equal to 7
825,0.08,5.06,Miami,French,Greater than or equal to 7
828,0.09,3.86,Miami,German,Greater than or equal to 7
831,0.03,7.02,Chicago,Spanish,Greater than or equal to 7
833,0.08,7.7,Houston,German,Greater than or equal to 7
840,0.12,2.02,Miami,French,Greater than or equal to 7
844,0.03,2.89,Miami,Spanish,Greater than or equal to 7
845,0.09,6.68,Los Angeles,English,Greater than or equal to 7
848,0.01,2.7,Houston,Spanish,Greater than or equal to 7
849,0.1,6.98,Miami,Mandarin,Greater than or equal to 7
850,0.03,3.12,Los Angeles,French,Greater than or equal to 7
862,0.13,2.08,Miami,French,Greater than or equal to 7
867,0.13,3.79,Los Angeles,French,Greater than or equal to 7
868,0.09,5.57,Los Angeles,French,Greater than or equal to 7
876,0.02,5.17,Miami,English,Greater than or equal to 7
885,0.14,3.48,Los Angeles,Spanish,Greater than or equal to 7
886,0.07,7.29,Miami,English,Greater than or equal to 7
887,0.02,2.55,Los Angeles,French,Greater than or equal to 7
888,0.09,3.05,New York,Mandarin,Greater than or equal to 7
889,0.11,6.5,Miami,Mandarin,Greater than or equal to 7
890,0.05,2.38,Los Angeles,French,Greater than or equal to 7
892,0.02,3.7,New York,French,Greater than or equal to 7
893,0.08,6.21,Chicago,Spanish,Greater than or equal to 7
898,0.05,3.57,Houston,Spanish,Greater than or equal to 7
905,0.02,7.48,Houston,Spanish,Greater than or equal to 7
907,0.05,5.13,Chicago,German,Greater than or equal to 7
908,0.12,4.75,Chicago,German,Greater than or equal to 7
910,0.02,7.95,Los Angeles,English,Greater than or equal to 7
913,0.15,5.06,New York,German,Greater than or equal to 7
915,0.14,6.9,Houston,German,Greater than or equal to 7
916,0.04,2.78,Los Angeles,French,Greater than or equal to 7
917,0.1,3.11,Los Angeles,Spanish,Greater than or equal to 7
918,0.02,5.9,New York,Spanish,Greater than or equal to 7
920,0.11,2.71,Miami,Mandarin,Greater than or equal to 7
921,0.05,5,New York,Mandarin,Greater than or equal to 7
924,0.04,5.41,Houston,Mandarin,Greater than or equal to 7
925,0.09,4.01,Chicago,English,Greater than or equal to 7
926,0.13,5.25,Miami,Mandarin,Greater than or equal to 7
927,0.03,4.33,Houston,Spanish,Greater than or equal to 7
928,0.08,3.7,Chicago,English,Greater than or equal to 7
930,0.13,2.55,New York,Mandarin,Greater than or equal to 7
933,0.01,5.83,Chicago,Mandarin,Greater than or equal to 7
934,0.09,4.68,Los Angeles,French,Greater than or equal to 7
938,0.02,3.07,Chicago,German,Greater than or equal to 7
944,0.11,6.41,New York,German,Greater than or equal to 7
948,0.06,5.9,Miami,German,Greater than or equal to 7
949,0.03,6.71,Houston,German,Greater than or equal to 7
952,0.12,5.1,Los Angeles,French,Greater than or equal to 7
953,0.03,3.47,Houston,Mandarin,Greater than or equal to 7
954,0.06,4.08,Houston,Mandarin,Greater than or equal to 7
957,0.13,5.29,New York,English,Greater than or equal to 7
958,0.01,6.33,Los Angeles,German,Greater than or equal to 7
959,0.01,3.27,Miami,Spanish,Greater than or equal to 7
960,0.03,7.27,Los Angeles,English,Greater than or equal to 7
962,0.05,2.39,New York,Spanish,Greater than or equal to 7
963,0.14,4.17,Chicago,Mandarin,Greater than or equal to 7
965,0.15,2.39,New York,Mandarin,Greater than or equal to 7
973,0.02,3.1,Houston,Spanish,Greater than or equal to 7
975,0.1,6.24,Los Angeles,Spanish,Greater than or equal to 7
976,0.11,7.71,Houston,Mandarin,Greater than or equal to 7
978,0.08,4.1,Miami,German,Greater than or equal to 7
981,0.13,5.72,New York,German,Greater than or equal to 7
982,0.08,7.02,Houston,Spanish,Greater than or equal to 7
983,0.13,2.56,New York,Mandarin,Greater than or equal to 7
984,0.09,2.83,Houston,French,Greater than or equal to 7
991,0.14,7.88,New York,Mandarin,Greater than or equal to 7
999,0.15,7.86,Chicago,Spanish,Greater than or equal to 7
1000,0.04,5.38,Chicago,German,Greater than or equal to 7
1003,0.14,3.44,Houston,German,Greater than or equal to 7
1004,0.14,4.52,Miami,Mandarin,Greater than or equal to 7
1005,0.03,6.34,Houston,Mandarin,Greater than or equal to 7
1010,0.07,5.35,New York,English,Greater than or equal to 7
1014,0.01,6.32,Los Angeles,Spanish,Greater than or equal to 7
1015,0.1,7.96,Chicago,German,Greater than or equal to 7
1017,0.12,2.57,Houston,English,Greater than or equal to 7
1019,0.06,2.52,Houston,Mandarin,Greater than or equal to 7
1021,0.04,6.88,Miami,Mandarin,Greater than or equal to 7
1022,0.13,6.74,Los Angeles,Spanish,Greater than or equal to 7
1024,0.08,5.88,Houston,German,Greater than or equal to 7
1028,0.07,7.32,Chicago,English,Greater than or equal to 7
1030,0.07,4.08,Houston,Spanish,Greater than or equal to 7
1036,0.13,2.99,New York,Spanish,Greater than or equal to 7
1039,0.11,5.58,Chicago,Mandarin,Greater than or equal to 7
1040,0.12,5.47,Los Angeles,French,Greater than or equal to 7
1041,0.04,7.98,Houston,French,Greater than or equal to 7
1045,0.11,5.16,Chicago,French,Greater than or equal to 7
1049,0.08,2.05,Houston,English,Greater than or equal to 7
1053,0.06,2.84,Chicago,French,Greater than or equal to 7
1056,0.12,7.37,Miami,French,Greater than or equal to 7
1062,0.03,7.68,New York,Mandarin,Greater than or equal to 7
1063,0.14,5.06,Houston,English,Greater than or equal to 7
1065,0.05,6.35,Chicago,Mandarin,Greater than or equal to 7
1069,0.07,6.94,Los Angeles,French,Greater than or equal to 7
1074,0.02,3.29,New York,English,Greater than or equal to 7
1076,0.08,5.86,New York,English,Greater than or equal to 7
1081,0.05,2.25,Miami,Mandarin,Greater than or equal to 7
1083,0.09,7.31,Houston,Mandarin,Greater than or equal to 7
1084,0.03,2.29,Miami,Mandarin,Greater than or equal to 7
1086,0.13,5.83,Miami,Spanish,Greater than or equal to 7
1089,0.02,6.56,Chicago,Mandarin,Greater than or equal to 7
1091,0.04,7.48,Chicago,Mandarin,Greater than or equal to 7
1092,0.01,3.32,Houston,Mandarin,Greater than or equal to 7
1094,0.14,2.02,Houston,Mandarin,Greater than or equal to 7
1099,0.05,6.12,Los Angeles,German,Greater than or equal to 7
1104,0.02,4.98,New York,Mandarin,Greater than or equal to 7
1105,0.1,6.79,Chicago,English,Greater than or equal to 7
1114,0.06,4.04,Miami,Spanish,Greater than or equal to 7
1117,0.06,4.91,Chicago,English,Greater than or equal to 7
1120,0.02,5.87,Houston,English,Greater than or equal to 7
1126,0.08,7.52,Houston,French,Greater than or equal to 7
1128,0.04,5.63,Los Angeles,French,Greater than or equal to 7
1129,0.09,6.02,Chicago,English,Greater than or equal to 7
1132,0.11,4.82,Los Angeles,Mandarin,Greater than or equal to 7
1137,0.1,7.51,Miami,English,Greater than or equal to 7
1138,0.02,5.49,Los Angeles,Spanish,Greater than or equal to 7
1139,0.14,5.18,New York,French,Greater than or equal to 7
1140,0.15,2.09,New York,German,Greater than or equal to 7
1142,0.1,7.65,New York,English,Greater than or equal to 7
1144,0.12,3.9,New York,Spanish,Greater than or equal to 7
1147,0.13,3.48,Los Angeles,French,Greater than or equal to 7
1149,0.04,2.99,Houston,Mandarin,Greater than or equal to 7
1152,0.02,7.86,Houston,English,Greater than or equal to 7
1154,0.14,7.07,Houston,French,Greater than or equal to 7
1155,0.13,2.63,Chicago,French,Greater than or equal to 7
1157,0.01,5.87,New York,German,Greater than or equal to 7
1159,0.12,3.27,Houston,English,Greater than or equal to 7
1160,0.12,2.26,Houston,German,Greater than or equal to 7
1161,0.1,5.44,Los Angeles,Spanish,Greater than or equal to 7
1165,0.14,6.18,Los Angeles,German,Greater than or equal to 7
1166,0.1,7.9,New York,German,Greater than or equal to 7
1167,0.09,5.68,New York,Spanish,Greater than or equal to 7
1169,0.03,6.5,Chicago,Spanish,Greater than or equal to 7
1171,0.06,5.33,Houston,German,Greater than or equal to 7
1176,0.1,3.62,Miami,English,Greater than or equal to 7
