Campaign_ID,Campaign_Type,Channel_Used,Conversion_Rate,Customer_Segment,Date,Engagement_Score_Segment,Click_Thru_Rate
270,Social Media,Google Ads,0.03,Fashionistas,Monday,Greater than or equal to 7,0.058581706
273,Search,Instagram,0.06,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.0615592
275,Influencer,Email,0.06,Foodies,Saturday,Greater than or equal to 7,0.065060636
278,Email,Website,0.03,Health & Wellness,Tuesday,Greater than or equal to 7,0.092067361
279,Email,Email,0.14,Fashionistas,Wednesday,Greater than or equal to 7,0.063976478
280,Display,Instagram,0.02,Health & Wellness,Thursday,Greater than or equal to 7,0.455655004
287,Influencer,Instagram,0.14,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.052319961
295,Display,Website,0.05,Tech Enthusiasts,Friday,Greater than or equal to 7,0.081070126
296,Influencer,YouTube,0.06,Health & Wellness,Saturday,Greater than or equal to 7,0.159365298
297,Display,Instagram,0.05,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.049778315
300,Social Media,Email,0.06,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.022496043
305,Search,Google Ads,0.1,Tech Enthusiasts,Monday,Greater than or equal to 7,0.126836364
306,Display,YouTube,0.09,Health & Wellness,Tuesday,Greater than or equal to 7,0.352818372
307,Display,YouTube,0.03,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.061864685
309,Display,Website,0.1,Health & Wellness,Friday,Greater than or equal to 7,0.105437941
313,Influencer,Instagram,0.11,Tech Enthusiasts,Tuesday,Greater than or equal to 7,0.023914643
314,Display,Google Ads,0.09,Health & Wellness,Wednesday,Greater than or equal to 7,0.083768779
318,Social Media,Website,0.06,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.263817928
319,Influencer,Email,0.15,Fashionistas,Monday,Greater than or equal to 7,0.091471939
321,Search,Email,0.13,Health & Wellness,Wednesday,Greater than or equal to 7,0.172031662
328,Influencer,YouTube,0.01,Health & Wellness,Wednesday,Greater than or equal to 7,0.128886741
329,Display,Facebook,0.08,Fashionistas,Thursday,Greater than or equal to 7,0.033410733
330,Influencer,Instagram,0.1,Health & Wellness,Friday,Greater than or equal to 7,0.359527121
332,Influencer,Instagram,0.06,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.218353283
333,Display,Google Ads,0.13,Foodies,Monday,Greater than or equal to 7,0.055154759
334,Influencer,Instagram,0.04,Fashionistas,Tuesday,Greater than or equal to 7,0.098702665
336,Social Media,Facebook,0.07,Foodies,Thursday,Greater than or equal to 7,0.045228549
337,Influencer,Website,0.02,Foodies,Friday,Greater than or equal to 7,0.215337955
338,Social Media,Email,0.02,Health & Wellness,Saturday,Greater than or equal to 7,0.146075949
340,Display,Website,0.13,Tech Enthusiasts,Monday,Greater than or equal to 7,0.079008382
344,Display,Email,0.02,Foodies,Friday,Greater than or equal to 7,0.17033357
353,Social Media,YouTube,0.13,Health & Wellness,Sunday,Greater than or equal to 7,0.107894166
356,Email,Facebook,0.06,Foodies,Wednesday,Greater than or equal to 7,0.10914715
357,Social Media,YouTube,0.11,Foodies,Thursday,Greater than or equal to 7,0.029661855
358,Email,Google Ads,0.12,Health & Wellness,Friday,Greater than or equal to 7,0.093142071
361,Search,Instagram,0.13,Outdoor Adventurers,Monday,Greater than or equal to 7,0.112054035
366,Social Media,Facebook,0.07,Health & Wellness,Friday,Greater than or equal to 7,0.050433168
370,Social Media,Email,0.12,Fashionistas,Tuesday,Greater than or equal to 7,0.116018542
373,Search,Google Ads,0.14,Tech Enthusiasts,Friday,Greater than or equal to 7,0.04202458
381,Influencer,Instagram,0.05,Fashionistas,Saturday,Greater than or equal to 7,0.098963242
383,Email,Instagram,0.04,Foodies,Monday,Greater than or equal to 7,0.121376281
384,Social Media,YouTube,0.04,Tech Enthusiasts,Tuesday,Greater than or equal to 7,0.021813446
387,Search,Instagram,0.08,Health & Wellness,Friday,Greater than or equal to 7,0.12783564
388,Search,Instagram,0.14,Health & Wellness,Saturday,Greater than or equal to 7,0.037857802
390,Display,Email,0.04,Outdoor Adventurers,Monday,Greater than or equal to 7,0.159263272
393,Display,Facebook,0.07,Fashionistas,Thursday,Greater than or equal to 7,0.161098901
394,Influencer,Facebook,0.03,Health & Wellness,Friday,Greater than or equal to 7,0.058475013
395,Display,YouTube,0.12,Outdoor Adventurers,Saturday,Greater than or equal to 7,0.265044393
398,Influencer,Email,0.12,Fashionistas,Tuesday,Greater than or equal to 7,0.529083665
401,Display,Instagram,0.08,Health & Wellness,Friday,Greater than or equal to 7,0.12834891
404,Social Media,YouTube,0.12,Outdoor Adventurers,Monday,Greater than or equal to 7,0.12200117
407,Influencer,Email,0.13,Fashionistas,Thursday,Greater than or equal to 7,0.032534713
409,Social Media,YouTube,0.09,Outdoor Adventurers,Saturday,Greater than or equal to 7,0.090239411
410,Search,Website,0.15,Foodies,Sunday,Greater than or equal to 7,0.132037325
413,Display,YouTube,0.01,Fashionistas,Wednesday,Greater than or equal to 7,0.244983668
415,Search,Google Ads,0.07,Foodies,Friday,Greater than or equal to 7,0.259259259
416,Email,Google Ads,0.04,Foodies,Saturday,Greater than or equal to 7,0.458333333
418,Search,YouTube,0.09,Foodies,Monday,Greater than or equal to 7,0.294242317
422,Email,Email,0.1,Health & Wellness,Friday,Greater than or equal to 7,0.022417934
423,Display,Facebook,0.01,Health & Wellness,Saturday,Greater than or equal to 7,0.202474691
424,Email,Email,0.07,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.05984556
427,Display,Website,0.02,Outdoor Adventurers,Wednesday,Greater than or equal to 7,0.076069213
428,Email,Website,0.07,Fashionistas,Thursday,Greater than or equal to 7,0.020126887
430,Display,Instagram,0.08,Health & Wellness,Saturday,Greater than or equal to 7,0.079568362
431,Email,Website,0.07,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.307766059
433,Display,Google Ads,0.01,Foodies,Tuesday,Greater than or equal to 7,0.012438062
434,Social Media,Website,0.08,Foodies,Wednesday,Greater than or equal to 7,0.025503123
442,Influencer,Email,0.15,Foodies,Thursday,Greater than or equal to 7,0.056780797
443,Influencer,Facebook,0.07,Tech Enthusiasts,Friday,Greater than or equal to 7,0.131631632
446,Search,Facebook,0.09,Tech Enthusiasts,Monday,Greater than or equal to 7,0.062710575
447,Email,Google Ads,0.11,Outdoor Adventurers,Tuesday,Greater than or equal to 7,0.236489232
448,Influencer,Website,0.04,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.048958795
452,Email,Website,0.04,Health & Wellness,Sunday,Greater than or equal to 7,0.050836007
453,Influencer,YouTube,0.02,Tech Enthusiasts,Monday,Greater than or equal to 7,0.016968988
458,Search,YouTube,0.02,Outdoor Adventurers,Saturday,Greater than or equal to 7,0.121229288
459,Influencer,YouTube,0.03,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.23430437
465,Social Media,Facebook,0.05,Fashionistas,Saturday,Greater than or equal to 7,0.108386638
467,Influencer,Facebook,0.1,Fashionistas,Monday,Greater than or equal to 7,0.168797954
470,Email,Instagram,0.14,Foodies,Thursday,Greater than or equal to 7,0.024790693
473,Email,Instagram,0.15,Health & Wellness,Sunday,Greater than or equal to 7,0.118644068
475,Influencer,Email,0.03,Fashionistas,Tuesday,Greater than or equal to 7,0.194444444
480,Search,Email,0.11,Health & Wellness,Sunday,Greater than or equal to 7,0.055339333
484,Influencer,Google Ads,0.03,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.021863536
485,Search,YouTube,0.06,Health & Wellness,Friday,Greater than or equal to 7,0.086037477
487,Email,Email,0.14,Foodies,Sunday,Greater than or equal to 7,0.020601041
488,Display,Facebook,0.05,Health & Wellness,Monday,Greater than or equal to 7,0.060606061
491,Email,Instagram,0.07,Foodies,Thursday,Greater than or equal to 7,0.128337086
493,Display,Facebook,0.06,Health & Wellness,Saturday,Greater than or equal to 7,0.033001625
503,Email,YouTube,0.14,Fashionistas,Tuesday,Greater than or equal to 7,0.137424035
504,Social Media,YouTube,0.06,Fashionistas,Wednesday,Greater than or equal to 7,0.095877769
508,Display,Website,0.14,Health & Wellness,Sunday,Greater than or equal to 7,0.147302087
509,Social Media,Google Ads,0.11,Fashionistas,Monday,Greater than or equal to 7,0.126734158
511,Email,Website,0.07,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.049762282
512,Search,Facebook,0.07,Foodies,Thursday,Greater than or equal to 7,0.028778218
513,Influencer,Google Ads,0.12,Health & Wellness,Friday,Greater than or equal to 7,0.042651483
514,Social Media,Facebook,0.03,Fashionistas,Saturday,Greater than or equal to 7,0.036692069
515,Search,Instagram,0.13,Foodies,Sunday,Greater than or equal to 7,0.107233503
517,Social Media,YouTube,0.02,Foodies,Tuesday,Greater than or equal to 7,0.040246266
518,Social Media,Facebook,0.04,Fashionistas,Wednesday,Greater than or equal to 7,0.142647982
519,Influencer,Website,0.05,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.108355091
521,Search,Instagram,0.14,Foodies,Saturday,Greater than or equal to 7,0.166434298
522,Search,YouTube,0.02,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.027596377
526,Influencer,Email,0.07,Foodies,Thursday,Greater than or equal to 7,0.034116154
527,Social Media,Website,0.14,Outdoor Adventurers,Friday,Greater than or equal to 7,0.826906598
528,Email,Instagram,0.09,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.559440559
529,Search,Instagram,0.1,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.143863552
530,Influencer,Instagram,0.07,Foodies,Monday,Greater than or equal to 7,0.092267464
533,Email,Facebook,0.05,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.03601108
534,Search,Website,0.07,Fashionistas,Friday,Greater than or equal to 7,0.20571844
538,Search,YouTube,0.02,Health & Wellness,Tuesday,Greater than or equal to 7,0.357758621
539,Influencer,Google Ads,0.13,Outdoor Adventurers,Wednesday,Greater than or equal to 7,0.413200222
547,Influencer,Google Ads,0.07,Fashionistas,Thursday,Greater than or equal to 7,0.092627979
549,Influencer,Email,0.11,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.079189687
553,Email,Email,0.04,Fashionistas,Wednesday,Greater than or equal to 7,0.141312185
555,Influencer,Email,0.02,Tech Enthusiasts,Friday,Greater than or equal to 7,0.10990753
559,Display,Instagram,0.03,Health & Wellness,Tuesday,Greater than or equal to 7,0.134216178
560,Email,Google Ads,0.1,Fashionistas,Wednesday,Greater than or equal to 7,0.086782377
566,Influencer,Instagram,0.1,Health & Wellness,Tuesday,Greater than or equal to 7,0.133658834
567,Display,Website,0.08,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.132501095
568,Search,Google Ads,0.12,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.537324464
571,Email,Google Ads,0.12,Foodies,Sunday,Greater than or equal to 7,0.096041531
572,Social Media,Google Ads,0.13,Health & Wellness,Monday,Greater than or equal to 7,0.254346947
576,Display,Instagram,0.04,Outdoor Adventurers,Friday,Greater than or equal to 7,0.128805304
577,Email,Instagram,0.14,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.06747838
578,Display,Google Ads,0.02,Health & Wellness,Sunday,Greater than or equal to 7,0.17709773
583,Influencer,Google Ads,0.13,Health & Wellness,Friday,Greater than or equal to 7,0.063220908
584,Search,Website,0.07,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.262349067
589,Email,YouTube,0.09,Foodies,Thursday,Greater than or equal to 7,0.088471068
591,Social Media,Email,0.09,Foodies,Saturday,Greater than or equal to 7,0.082287308
593,Social Media,Instagram,0.08,Outdoor Adventurers,Monday,Greater than or equal to 7,0.107631389
594,Email,Website,0.12,Fashionistas,Tuesday,Greater than or equal to 7,0.094462541
595,Influencer,YouTube,0.03,Fashionistas,Wednesday,Greater than or equal to 7,0.149261892
598,Social Media,Google Ads,0.08,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.05684803
600,Influencer,YouTube,0.12,Fashionistas,Monday,Greater than or equal to 7,0.023987146
602,Social Media,Google Ads,0.02,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.065236819
603,Social Media,Facebook,0.09,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.118593955
606,Email,Website,0.02,Fashionistas,Sunday,Greater than or equal to 7,0.510477787
607,Search,Instagram,0.02,Health & Wellness,Monday,Greater than or equal to 7,0.147882514
608,Search,Website,0.06,Fashionistas,Tuesday,Greater than or equal to 7,0.294661191
610,Display,Facebook,0.06,Health & Wellness,Thursday,Greater than or equal to 7,0.335781742
616,Influencer,Facebook,0.05,Foodies,Wednesday,Greater than or equal to 7,0.041256246
617,Search,YouTube,0.06,Foodies,Thursday,Greater than or equal to 7,0.018322209
618,Display,Website,0.08,Tech Enthusiasts,Friday,Greater than or equal to 7,0.284228769
620,Social Media,Instagram,0.11,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.097061972
621,Influencer,Instagram,0.14,Tech Enthusiasts,Monday,Greater than or equal to 7,0.096933887
622,Email,Website,0.11,Tech Enthusiasts,Tuesday,Greater than or equal to 7,0.079496915
624,Social Media,Facebook,0.11,Foodies,Thursday,Greater than or equal to 7,0.17482225
625,Social Media,Website,0.02,Outdoor Adventurers,Friday,Greater than or equal to 7,0.364932886
626,Search,YouTube,0.14,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.059910414
629,Email,Facebook,0.1,Foodies,Tuesday,Greater than or equal to 7,0.013506439
633,Email,Google Ads,0.13,Fashionistas,Saturday,Greater than or equal to 7,0.037162162
635,Search,Instagram,0.14,Fashionistas,Monday,Greater than or equal to 7,0.014387699
638,Search,Google Ads,0.07,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.08177137
642,Influencer,Email,0.08,Tech Enthusiasts,Monday,Greater than or equal to 7,0.057193077
643,Social Media,Google Ads,0.06,Fashionistas,Tuesday,Greater than or equal to 7,0.020689655
644,Social Media,YouTube,0.02,Fashionistas,Wednesday,Greater than or equal to 7,0.209128065
647,Social Media,Google Ads,0.1,Outdoor Adventurers,Saturday,Greater than or equal to 7,0.017659596
650,Email,Google Ads,0.12,Outdoor Adventurers,Tuesday,Greater than or equal to 7,0.026936539
651,Display,Facebook,0.08,Fashionistas,Wednesday,Greater than or equal to 7,0.058833561
659,Search,Facebook,0.12,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.041722445
661,Influencer,Facebook,0.11,Fashionistas,Saturday,Greater than or equal to 7,0.032240846
665,Display,Facebook,0.11,Tech Enthusiasts,Wednesday,Greater than or equal to 7,0.254222973
667,Influencer,Email,0.1,Tech Enthusiasts,Friday,Greater than or equal to 7,0.027468556
674,Social Media,Instagram,0.13,Foodies,Friday,Greater than or equal to 7,0.0235374
676,Email,Email,0.03,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.040953748
677,Influencer,Email,0.05,Tech Enthusiasts,Monday,Greater than or equal to 7,0.013326628
679,Influencer,Email,0.14,Health & Wellness,Wednesday,Greater than or equal to 7,0.127444589
680,Email,Email,0.14,Outdoor Adventurers,Thursday,Greater than or equal to 7,0.066876179
683,Social Media,Google Ads,0.03,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.06227209
688,Social Media,Google Ads,0.13,Foodies,Friday,Greater than or equal to 7,0.083005745
692,Influencer,Website,0.05,Foodies,Tuesday,Greater than or equal to 7,0.090310823
695,Display,YouTube,0.11,Foodies,Friday,Greater than or equal to 7,0.588516746
698,Influencer,Instagram,0.14,Tech Enthusiasts,Monday,Greater than or equal to 7,0.281156954
702,Display,Instagram,0.12,Tech Enthusiasts,Friday,Greater than or equal to 7,0.034417808
703,Social Media,YouTube,0.01,Health & Wellness,Saturday,Greater than or equal to 7,0.462721342
704,Social Media,Google Ads,0.12,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.135302198
705,Influencer,Google Ads,0.1,Health & Wellness,Monday,Greater than or equal to 7,0.025101118
706,Display,Email,0.01,Health & Wellness,Tuesday,Greater than or equal to 7,0.074981801
707,Email,Instagram,0.13,Foodies,Wednesday,Greater than or equal to 7,0.070800168
709,Display,Website,0.12,Tech Enthusiasts,Friday,Greater than or equal to 7,0.127241379
711,Email,YouTube,0.12,Foodies,Sunday,Greater than or equal to 7,0.064888085
712,Display,Instagram,0.14,Foodies,Monday,Greater than or equal to 7,0.239197101
713,Influencer,Email,0.09,Health & Wellness,Tuesday,Greater than or equal to 7,0.065763052
717,Search,YouTube,0.06,Tech Enthusiasts,Saturday,Greater than or equal to 7,0.041871663
718,Influencer,Instagram,0.13,Tech Enthusiasts,Sunday,Greater than or equal to 7,0.106788471
719,Social Media,Instagram,0.14,Fashionistas,Monday,Greater than or equal to 7,0.070281124
722,Display,Website,0.13,Tech Enthusiasts,Thursday,Greater than or equal to 7,0.08345515
724,Social Media,Facebook,0.04,Foodies,Saturday,Greater than or equal to 7,0.068298145
726,Display,Website,0.05,Health & Wellness,Monday,Greater than or equal to 7,0.067343486
728,Search,Email,0.06,Outdoor Adventurers,Wednesday,Greater than or equal to 7,0.090838509
730,Search,Google Ads,0.14,Health & Wellness,Friday,Greater than or equal to 7,0.226159458
732,Influencer,Facebook,0.12,Foodies,Saturday,Greater than or equal to 7,0.10280626
737,Influencer,Facebook,0.04,Foodies,Thursday,Greater than or equal to 7,0.149332768
738,Search,Instagram,0.12,Fashionistas,Friday,Greater than or equal to 7,0.042617047
740,Email,Facebook,0.13,Fashionistas,Sunday,Greater than or equal to 7,0.076142132
741,Display,Instagram,0.12,Fashionistas,Monday,Greater than or equal to 7,0.030732117
743,Search,Facebook,0.06,Health & Wellness,Wednesday,Greater than or equal to 7,0.106321349
747,Influencer,Facebook,0.05,Outdoor Adventurers,Sunday,Greater than or equal to 7,0.048313448
749,Display,YouTube,0.05,Fashionistas,Tuesday,Greater than or equal to 7,0.082711575
