Campaign_ID,Campaign_Type,Target_Audience,Duration_in_Days,Channel_Used,Conversion_Rate,ROI,Location,Language,Customer_Segment,Date,Engagement_Score_Segment
113,Display,Women 35-44,30,Google Ads,0.02,2.01,Miami,Mandarin,Health & Wellness,4/23/21,Greater than or equal to 7
115,Email,Women 25-34,45,Google Ads,0.11,2.72,Houston,German,Fashionistas,4/25/21,Greater than or equal to 7
116,Social Media,Women 25-34,15,Facebook,0.09,3.7,Los Angeles,German,Tech Enthusiasts,4/26/21,Greater than or equal to 7
119,Display,Women 35-44,15,YouTube,0.14,3.71,Los Angeles,German,Foodies,4/29/21,Greater than or equal to 7
120,Display,All Ages,45,YouTube,0.07,7.65,Miami,Mandarin,Tech Enthusiasts,4/30/21,Greater than or equal to 7
121,Email,Women 35-44,45,Facebook,0.02,7.58,Houston,English,Outdoor Adventurers,5/1/21,Greater than or equal to 7
125,Email,Men 18-24,45,Website,0.13,6.08,Chicago,Mandarin,Foodies,5/5/21,Greater than or equal to 7
126,Email,Men 25-34,45,Google Ads,0.02,5.5,Miami,English,Outdoor Adventurers,5/6/21,Greater than or equal to 7
129,Email,Men 18-24,45,Instagram,0.06,4.32,New York,Spanish,Health & Wellness,5/9/21,Greater than or equal to 7
131,Email,Men 18-24,15,Instagram,0.11,6.63,New York,Spanish,Fashionistas,5/11/21,Greater than or equal to 7
133,Social Media,Men 25-34,15,Instagram,0.14,7.54,Houston,German,Fashionistas,5/13/21,Greater than or equal to 7
134,Search,Men 25-34,30,Facebook,0.1,2.41,Miami,English,Foodies,5/14/21,Greater than or equal to 7
135,Display,All Ages,60,Google Ads,0.04,6.46,Chicago,French,Tech Enthusiasts,5/15/21,Greater than or equal to 7
136,Email,Men 18-24,30,Email,0.15,3.56,New York,Spanish,Tech Enthusiasts,5/16/21,Greater than or equal to 7
139,Email,Men 18-24,45,Website,0.07,3.77,Chicago,German,Outdoor Adventurers,5/19/21,Greater than or equal to 7
142,Influencer,All Ages,45,Google Ads,0.08,3.48,Houston,English,Health & Wellness,5/22/21,Greater than or equal to 7
156,Influencer,All Ages,15,Instagram,0.07,3.31,Los Angeles,French,Tech Enthusiasts,6/5/21,Greater than or equal to 7
157,Display,Men 25-34,30,Facebook,0.09,4.74,Houston,Mandarin,Outdoor Adventurers,6/6/21,Greater than or equal to 7
161,Search,All Ages,45,Website,0.05,6.55,Miami,English,Fashionistas,6/10/21,Greater than or equal to 7
162,Social Media,Men 18-24,30,YouTube,0.07,5.28,Chicago,German,Foodies,6/11/21,Greater than or equal to 7
163,Email,Women 25-34,15,Google Ads,0.04,3.09,Los Angeles,Spanish,Tech Enthusiasts,6/12/21,Greater than or equal to 7
165,Email,Men 25-34,30,Email,0.07,3.17,Houston,English,Foodies,6/14/21,Greater than or equal to 7
167,Search,Men 18-24,15,Instagram,0.08,7.24,Los Angeles,English,Tech Enthusiasts,6/16/21,Greater than or equal to 7
169,Influencer,Women 25-34,60,Email,0.03,4.36,Los Angeles,English,Tech Enthusiasts,6/18/21,Greater than or equal to 7
170,Search,All Ages,30,Google Ads,0.07,5.41,Los Angeles,English,Foodies,6/19/21,Greater than or equal to 7
171,Social Media,Men 25-34,30,Website,0.06,4.62,Miami,Mandarin,Foodies,6/20/21,Greater than or equal to 7
173,Influencer,All Ages,15,YouTube,0.11,3.76,Los Angeles,German,Foodies,6/22/21,Greater than or equal to 7
175,Search,Men 18-24,15,Instagram,0.1,5.29,Los Angeles,French,Outdoor Adventurers,6/24/21,Greater than or equal to 7
179,Display,All Ages,45,Email,0.13,4.91,Miami,Mandarin,Foodies,6/28/21,Greater than or equal to 7
180,Display,Women 35-44,30,Google Ads,0.01,6.29,Chicago,Spanish,Tech Enthusiasts,6/29/21,Greater than or equal to 7
181,Display,All Ages,45,Email,0.07,4.29,New York,Mandarin,Fashionistas,6/30/21,Greater than or equal to 7
182,Influencer,Women 35-44,15,Facebook,0.06,2.58,Los Angeles,Spanish,Tech Enthusiasts,7/1/21,Greater than or equal to 7
184,Social Media,Men 18-24,45,Email,0.06,3.97,Chicago,Spanish,Fashionistas,7/3/21,Greater than or equal to 7
185,Influencer,Men 25-34,15,Instagram,0.14,7.27,Chicago,Mandarin,Outdoor Adventurers,7/4/21,Greater than or equal to 7
188,Influencer,Women 25-34,30,Instagram,0.11,7.8,Chicago,German,Tech Enthusiasts,7/7/21,Greater than or equal to 7
190,Influencer,All Ages,15,Email,0.06,5.46,Chicago,German,Tech Enthusiasts,7/9/21,Greater than or equal to 7
191,Social Media,Women 35-44,60,Website,0.12,2.46,Chicago,German,Tech Enthusiasts,7/10/21,Greater than or equal to 7
194,Email,All Ages,15,Google Ads,0.1,4.28,New York,Mandarin,Foodies,7/13/21,Greater than or equal to 7
195,Email,All Ages,45,Email,0.07,3.62,Chicago,Spanish,Foodies,7/14/21,Greater than or equal to 7
196,Display,Women 35-44,30,YouTube,0.02,7.31,Houston,Mandarin,Health & Wellness,7/15/21,Greater than or equal to 7
200,Influencer,Men 25-34,30,Google Ads,0.02,2.63,Chicago,English,Outdoor Adventurers,7/19/21,Greater than or equal to 7
202,Influencer,Women 35-44,45,Instagram,0.13,5.83,Chicago,French,Foodies,7/21/21,Greater than or equal to 7
203,Display,All Ages,30,Email,0.1,7.27,Los Angeles,Spanish,Tech Enthusiasts,7/22/21,Greater than or equal to 7
204,Influencer,Men 18-24,45,Google Ads,0.15,7.51,Los Angeles,French,Foodies,7/23/21,Greater than or equal to 7
205,Influencer,Women 35-44,45,Email,0.11,7.49,Chicago,Mandarin,Foodies,7/24/21,Greater than or equal to 7
208,Display,Women 25-34,45,Google Ads,0.11,2.87,Los Angeles,English,Health & Wellness,7/27/21,Greater than or equal to 7
209,Display,All Ages,15,Google Ads,0.11,3.66,Chicago,English,Health & Wellness,7/28/21,Greater than or equal to 7
210,Display,All Ages,45,Email,0.08,2.81,Los Angeles,Mandarin,Health & Wellness,7/29/21,Greater than or equal to 7
211,Search,Women 35-44,30,Website,0.08,7.94,Chicago,Spanish,Health & Wellness,7/30/21,Greater than or equal to 7
217,Search,Women 35-44,30,Google Ads,0.11,6.06,Houston,English,Fashionistas,8/5/21,Greater than or equal to 7
219,Search,Women 25-34,15,Email,0.08,3.91,Los Angeles,Spanish,Foodies,8/7/21,Greater than or equal to 7
220,Influencer,All Ages,15,Email,0.03,8,New York,Mandarin,Fashionistas,8/8/21,Greater than or equal to 7
225,Email,Men 25-34,30,Instagram,0.12,6.8,Houston,English,Outdoor Adventurers,8/13/21,Greater than or equal to 7
237,Search,Men 18-24,30,Email,0.14,5.12,Chicago,German,Health & Wellness,8/25/21,Greater than or equal to 7
240,Email,Women 35-44,60,Google Ads,0.1,5.75,Los Angeles,Spanish,Tech Enthusiasts,8/28/21,Greater than or equal to 7
247,Social Media,Men 25-34,15,Google Ads,0.15,6.53,New York,Spanish,Health & Wellness,9/4/21,Greater than or equal to 7
248,Social Media,Women 25-34,45,Google Ads,0.15,3.26,Chicago,Mandarin,Outdoor Adventurers,9/5/21,Greater than or equal to 7
250,Display,All Ages,15,Email,0.13,5.25,Chicago,Mandarin,Fashionistas,9/7/21,Greater than or equal to 7
251,Display,Women 25-34,45,Website,0.1,2.15,New York,French,Fashionistas,9/8/21,Greater than or equal to 7
253,Search,All Ages,30,Email,0.08,4.24,Houston,French,Tech Enthusiasts,9/10/21,Greater than or equal to 7
254,Influencer,Women 35-44,60,Facebook,0.07,4.55,Los Angeles,English,Foodies,9/11/21,Greater than or equal to 7
256,Influencer,Men 25-34,30,YouTube,0.08,2.27,Miami,Spanish,Health & Wellness,9/13/21,Greater than or equal to 7
257,Display,Men 25-34,45,YouTube,0.02,6.92,New York,German,Foodies,9/14/21,Greater than or equal to 7
263,Search,All Ages,30,Google Ads,0.12,6.44,Chicago,Mandarin,Tech Enthusiasts,9/20/21,Greater than or equal to 7
264,Social Media,Men 18-24,45,Email,0.05,3.16,Houston,French,Health & Wellness,9/21/21,Greater than or equal to 7
265,Social Media,Women 25-34,45,Facebook,0.07,3.29,Houston,French,Foodies,9/22/21,Greater than or equal to 7
267,Social Media,Men 18-24,15,Website,0.07,4.52,Houston,German,Outdoor Adventurers,9/24/21,Greater than or equal to 7
270,Social Media,Men 18-24,45,Google Ads,0.03,3.54,New York,Mandarin,Fashionistas,9/27/21,Greater than or equal to 7
273,Search,Women 35-44,15,Instagram,0.06,7.62,Los Angeles,German,Tech Enthusiasts,9/30/21,Greater than or equal to 7
275,Influencer,Women 35-44,60,Email,0.06,7.56,Houston,Mandarin,Foodies,10/2/21,Greater than or equal to 7
278,Email,All Ages,30,Website,0.03,5.48,Houston,Mandarin,Health & Wellness,10/5/21,Greater than or equal to 7
279,Email,Men 18-24,30,Email,0.14,7.56,Miami,German,Fashionistas,10/6/21,Greater than or equal to 7
280,Display,Men 25-34,60,Instagram,0.02,6.62,Los Angeles,German,Health & Wellness,10/7/21,Greater than or equal to 7
287,Influencer,All Ages,45,Instagram,0.14,7.08,Chicago,Spanish,Outdoor Adventurers,10/14/21,Greater than or equal to 7
295,Display,Men 18-24,60,Website,0.05,2.09,Los Angeles,German,Tech Enthusiasts,10/22/21,Greater than or equal to 7
296,Influencer,Women 25-34,45,YouTube,0.06,5.09,Houston,German,Health & Wellness,10/23/21,Greater than or equal to 7
297,Display,All Ages,30,Instagram,0.05,7.2,Los Angeles,Spanish,Outdoor Adventurers,10/24/21,Greater than or equal to 7
300,Social Media,All Ages,60,Email,0.06,7.99,Chicago,German,Tech Enthusiasts,10/27/21,Greater than or equal to 7
305,Search,Women 25-34,15,Google Ads,0.1,2.94,Los Angeles,German,Tech Enthusiasts,11/1/21,Greater than or equal to 7
306,Display,Men 18-24,15,YouTube,0.09,4.71,Miami,English,Health & Wellness,11/2/21,Greater than or equal to 7
307,Display,Women 25-34,30,YouTube,0.03,6.02,New York,English,Tech Enthusiasts,11/3/21,Greater than or equal to 7
309,Display,Women 35-44,30,Website,0.1,5.4,Miami,Mandarin,Health & Wellness,11/5/21,Greater than or equal to 7
313,Influencer,Women 25-34,45,Instagram,0.11,7.9,Chicago,German,Tech Enthusiasts,11/9/21,Greater than or equal to 7
314,Display,All Ages,45,Google Ads,0.09,4.02,Houston,French,Health & Wellness,11/10/21,Greater than or equal to 7
318,Social Media,Men 18-24,45,Website,0.06,2.69,Chicago,French,Tech Enthusiasts,11/14/21,Greater than or equal to 7
319,Influencer,Women 25-34,45,Email,0.15,4.24,Los Angeles,English,Fashionistas,11/15/21,Greater than or equal to 7
321,Search,Men 18-24,45,Email,0.13,2.46,New York,German,Health & Wellness,11/17/21,Greater than or equal to 7
328,Influencer,Men 25-34,30,YouTube,0.01,5.22,Miami,German,Health & Wellness,11/24/21,Greater than or equal to 7
329,Display,All Ages,30,Facebook,0.08,5.32,Los Angeles,English,Fashionistas,11/25/21,Greater than or equal to 7
330,Influencer,Women 35-44,30,Instagram,0.1,6.4,Houston,Mandarin,Health & Wellness,11/26/21,Greater than or equal to 7
332,Influencer,Men 18-24,30,Instagram,0.06,2.28,Chicago,English,Outdoor Adventurers,11/28/21,Greater than or equal to 7
333,Display,Women 35-44,30,Google Ads,0.13,5.27,Houston,English,Foodies,11/29/21,Greater than or equal to 7
334,Influencer,Women 25-34,60,Instagram,0.04,4.99,Los Angeles,English,Fashionistas,11/30/21,Greater than or equal to 7
336,Social Media,All Ages,15,Facebook,0.07,4.14,Los Angeles,English,Foodies,12/2/21,Greater than or equal to 7
337,Influencer,Men 25-34,60,Website,0.02,3.92,Houston,French,Foodies,12/3/21,Greater than or equal to 7
338,Social Media,Women 35-44,15,Email,0.02,7.34,New York,French,Health & Wellness,12/4/21,Greater than or equal to 7
340,Display,Women 25-34,30,Website,0.13,2.59,Miami,Spanish,Tech Enthusiasts,12/6/21,Greater than or equal to 7
344,Display,All Ages,60,Email,0.02,5.82,Los Angeles,German,Foodies,12/10/21,Greater than or equal to 7
353,Social Media,Women 25-34,15,YouTube,0.13,2.4,Los Angeles,English,Health & Wellness,12/19/21,Greater than or equal to 7
356,Email,Women 25-34,45,Facebook,0.06,6.38,Houston,French,Foodies,12/22/21,Greater than or equal to 7
357,Social Media,All Ages,15,YouTube,0.11,3.44,New York,French,Foodies,12/23/21,Greater than or equal to 7
358,Email,Men 25-34,15,Google Ads,0.12,3.46,Chicago,German,Health & Wellness,12/24/21,Greater than or equal to 7
361,Search,Women 25-34,45,Instagram,0.13,3,Miami,English,Outdoor Adventurers,12/27/21,Greater than or equal to 7
366,Social Media,All Ages,60,Facebook,0.07,7.14,New York,Mandarin,Health & Wellness,1/1/21,Greater than or equal to 7
370,Social Media,Women 35-44,45,Email,0.12,7.61,New York,German,Fashionistas,1/5/21,Greater than or equal to 7
373,Search,Men 18-24,30,Google Ads,0.14,3.96,Houston,French,Tech Enthusiasts,1/8/21,Greater than or equal to 7
381,Influencer,Men 25-34,45,Instagram,0.05,3.42,Chicago,German,Fashionistas,1/16/21,Greater than or equal to 7
383,Email,Women 25-34,15,Instagram,0.04,3.44,Los Angeles,Spanish,Foodies,1/18/21,Greater than or equal to 7
384,Social Media,Women 25-34,45,YouTube,0.04,6.74,New York,French,Tech Enthusiasts,1/19/21,Greater than or equal to 7
387,Search,All Ages,60,Instagram,0.08,2.81,Houston,English,Health & Wellness,1/22/21,Greater than or equal to 7
388,Search,All Ages,60,Instagram,0.14,7.76,Los Angeles,Mandarin,Health & Wellness,1/23/21,Greater than or equal to 7
390,Display,Men 25-34,45,Email,0.04,3.98,Chicago,Spanish,Outdoor Adventurers,1/25/21,Greater than or equal to 7
393,Display,Women 25-34,15,Facebook,0.07,5.83,Miami,English,Fashionistas,1/28/21,Greater than or equal to 7
394,Influencer,Women 25-34,15,Facebook,0.03,4.06,Chicago,Spanish,Health & Wellness,1/29/21,Greater than or equal to 7
395,Display,Women 35-44,45,YouTube,0.12,4.46,Miami,French,Outdoor Adventurers,1/30/21,Greater than or equal to 7
398,Influencer,Women 25-34,30,Email,0.12,3.16,Chicago,English,Fashionistas,2/2/21,Greater than or equal to 7
401,Display,All Ages,15,Instagram,0.08,5.55,Houston,Spanish,Health & Wellness,2/5/21,Greater than or equal to 7
404,Social Media,All Ages,30,YouTube,0.12,7.69,New York,English,Outdoor Adventurers,2/8/21,Greater than or equal to 7
407,Influencer,Women 35-44,30,Email,0.13,2.15,Chicago,Spanish,Fashionistas,2/11/21,Greater than or equal to 7
409,Social Media,Men 25-34,15,YouTube,0.09,4.64,Houston,German,Outdoor Adventurers,2/13/21,Greater than or equal to 7
410,Search,Women 25-34,45,Website,0.15,5.32,Houston,Mandarin,Foodies,2/14/21,Greater than or equal to 7
413,Display,All Ages,30,YouTube,0.01,6.43,New York,German,Fashionistas,2/17/21,Greater than or equal to 7
415,Search,Women 35-44,30,Google Ads,0.07,7.97,Chicago,Mandarin,Foodies,2/19/21,Greater than or equal to 7
416,Email,Men 25-34,15,Google Ads,0.04,4.98,Chicago,German,Foodies,2/20/21,Greater than or equal to 7
418,Search,Men 25-34,15,YouTube,0.09,2.32,Los Angeles,English,Foodies,2/22/21,Greater than or equal to 7
422,Email,Men 25-34,30,Email,0.1,2.76,Los Angeles,Mandarin,Health & Wellness,2/26/21,Greater than or equal to 7
423,Display,Men 25-34,30,Facebook,0.01,4.39,Houston,German,Health & Wellness,2/27/21,Greater than or equal to 7
424,Email,Men 25-34,30,Email,0.07,6.6,Miami,English,Outdoor Adventurers,2/28/21,Greater than or equal to 7
427,Display,Men 18-24,45,Website,0.02,5.5,Miami,Spanish,Outdoor Adventurers,3/3/21,Greater than or equal to 7
428,Email,Women 25-34,30,Website,0.07,4.73,Los Angeles,Mandarin,Fashionistas,3/4/21,Greater than or equal to 7
430,Display,Women 35-44,45,Instagram,0.08,7.34,New York,French,Health & Wellness,3/6/21,Greater than or equal to 7
431,Email,Women 25-34,30,Website,0.07,7.25,Los Angeles,German,Tech Enthusiasts,3/7/21,Greater than or equal to 7
433,Display,Men 25-34,60,Google Ads,0.01,3.46,Los Angeles,Mandarin,Foodies,3/9/21,Greater than or equal to 7
434,Social Media,Men 25-34,60,Website,0.08,6.26,New York,German,Foodies,3/10/21,Greater than or equal to 7
442,Influencer,Women 35-44,30,Email,0.15,2.64,Chicago,Mandarin,Foodies,3/18/21,Greater than or equal to 7
443,Influencer,Men 18-24,30,Facebook,0.07,7.39,Miami,German,Tech Enthusiasts,3/19/21,Greater than or equal to 7
446,Search,All Ages,30,Facebook,0.09,5.1,Los Angeles,Mandarin,Tech Enthusiasts,3/22/21,Greater than or equal to 7
447,Email,All Ages,15,Google Ads,0.11,5.82,Houston,Spanish,Outdoor Adventurers,3/23/21,Greater than or equal to 7
448,Influencer,Women 25-34,60,Website,0.04,3.56,Miami,Mandarin,Tech Enthusiasts,3/24/21,Greater than or equal to 7
452,Email,Men 18-24,15,Website,0.04,5.87,Los Angeles,Mandarin,Health & Wellness,3/28/21,Greater than or equal to 7
453,Influencer,Women 25-34,60,YouTube,0.02,4.19,Miami,French,Tech Enthusiasts,3/29/21,Greater than or equal to 7
458,Search,Women 35-44,60,YouTube,0.02,6.29,Chicago,Spanish,Outdoor Adventurers,4/3/21,Greater than or equal to 7
459,Influencer,Women 35-44,60,YouTube,0.03,3.92,Los Angeles,German,Tech Enthusiasts,4/4/21,Greater than or equal to 7
465,Social Media,Women 25-34,15,Facebook,0.05,6.53,New York,Mandarin,Fashionistas,4/10/21,Greater than or equal to 7
467,Influencer,All Ages,45,Facebook,0.1,6.95,New York,Spanish,Fashionistas,4/12/21,Greater than or equal to 7
470,Email,Men 25-34,60,Instagram,0.14,2.26,Miami,Mandarin,Foodies,4/15/21,Greater than or equal to 7
473,Email,Men 18-24,15,Instagram,0.15,4.71,Chicago,German,Health & Wellness,4/18/21,Greater than or equal to 7
475,Influencer,All Ages,30,Email,0.03,3.83,New York,Spanish,Fashionistas,4/20/21,Greater than or equal to 7
480,Search,Women 25-34,15,Email,0.11,4.65,Chicago,Mandarin,Health & Wellness,4/25/21,Greater than or equal to 7
484,Influencer,Men 25-34,60,Google Ads,0.03,6.93,Miami,Spanish,Outdoor Adventurers,4/29/21,Greater than or equal to 7
485,Search,Men 18-24,60,YouTube,0.06,4.15,New York,Spanish,Health & Wellness,4/30/21,Greater than or equal to 7
487,Email,Men 18-24,15,Email,0.14,6.35,Chicago,Mandarin,Foodies,5/2/21,Greater than or equal to 7
488,Display,Women 25-34,30,Facebook,0.05,7.56,Los Angeles,German,Health & Wellness,5/3/21,Greater than or equal to 7
491,Email,Men 18-24,30,Instagram,0.07,4.32,Chicago,Mandarin,Foodies,5/6/21,Greater than or equal to 7
493,Display,Women 25-34,45,Facebook,0.06,2.35,Los Angeles,English,Health & Wellness,5/8/21,Greater than or equal to 7
503,Email,Men 25-34,15,YouTube,0.14,2.56,Chicago,Spanish,Fashionistas,5/18/21,Greater than or equal to 7
504,Social Media,Women 35-44,45,YouTube,0.06,5.92,Miami,Spanish,Fashionistas,5/19/21,Greater than or equal to 7
508,Display,Women 25-34,60,Website,0.14,2.56,Houston,Spanish,Health & Wellness,5/23/21,Greater than or equal to 7
509,Social Media,Men 25-34,30,Google Ads,0.11,7.07,Miami,German,Fashionistas,5/24/21,Greater than or equal to 7
511,Email,Women 35-44,45,Website,0.07,7.77,New York,Mandarin,Tech Enthusiasts,5/26/21,Greater than or equal to 7
512,Search,All Ages,30,Facebook,0.07,7.67,Los Angeles,English,Foodies,5/27/21,Greater than or equal to 7
513,Influencer,Women 25-34,60,Google Ads,0.12,3.85,New York,Spanish,Health & Wellness,5/28/21,Greater than or equal to 7
514,Social Media,Men 18-24,30,Facebook,0.03,5.97,Miami,French,Fashionistas,5/29/21,Greater than or equal to 7
515,Search,Men 25-34,45,Instagram,0.13,6.03,Houston,Spanish,Foodies,5/30/21,Greater than or equal to 7
517,Social Media,Men 18-24,15,YouTube,0.02,4.91,Miami,Mandarin,Foodies,6/1/21,Greater than or equal to 7
518,Social Media,Women 25-34,45,Facebook,0.04,7.31,Los Angeles,English,Fashionistas,6/2/21,Greater than or equal to 7
519,Influencer,Men 25-34,15,Website,0.05,6.81,Chicago,English,Outdoor Adventurers,6/3/21,Greater than or equal to 7
521,Search,Women 35-44,60,Instagram,0.14,3.31,Chicago,French,Foodies,6/5/21,Greater than or equal to 7
522,Search,Women 25-34,15,YouTube,0.02,5.85,New York,Spanish,Outdoor Adventurers,6/6/21,Greater than or equal to 7
526,Influencer,Men 18-24,30,Email,0.07,4.77,Houston,German,Foodies,6/10/21,Greater than or equal to 7
527,Social Media,All Ages,30,Website,0.14,3.23,Miami,Spanish,Outdoor Adventurers,6/11/21,Greater than or equal to 7
528,Email,All Ages,60,Instagram,0.09,7.54,Los Angeles,Mandarin,Tech Enthusiasts,6/12/21,Greater than or equal to 7
529,Search,Men 18-24,45,Instagram,0.1,2.24,Chicago,German,Tech Enthusiasts,6/13/21,Greater than or equal to 7
530,Influencer,Men 18-24,60,Instagram,0.07,5.21,Miami,Spanish,Foodies,6/14/21,Greater than or equal to 7
533,Email,Men 18-24,60,Facebook,0.05,5.05,Los Angeles,French,Outdoor Adventurers,6/17/21,Greater than or equal to 7
534,Search,Men 18-24,15,Website,0.07,5.86,Los Angeles,French,Fashionistas,6/18/21,Greater than or equal to 7
538,Search,All Ages,15,YouTube,0.02,5.67,Miami,Spanish,Health & Wellness,6/22/21,Greater than or equal to 7
539,Influencer,Women 35-44,60,Google Ads,0.13,5.04,Los Angeles,French,Outdoor Adventurers,6/23/21,Greater than or equal to 7
547,Influencer,Men 18-24,60,Google Ads,0.07,5.79,New York,Mandarin,Fashionistas,7/1/21,Greater than or equal to 7
549,Influencer,Women 35-44,30,Email,0.11,6.12,Miami,English,Tech Enthusiasts,7/3/21,Greater than or equal to 7
553,Email,Women 25-34,30,Email,0.04,2.81,Chicago,English,Fashionistas,7/7/21,Greater than or equal to 7
555,Influencer,All Ages,15,Email,0.02,5.29,Chicago,German,Tech Enthusiasts,7/9/21,Greater than or equal to 7
559,Display,Men 25-34,60,Instagram,0.03,3.1,Chicago,German,Health & Wellness,7/13/21,Greater than or equal to 7
560,Email,All Ages,60,Google Ads,0.1,4.82,Miami,English,Fashionistas,7/14/21,Greater than or equal to 7
566,Influencer,All Ages,60,Instagram,0.1,6.53,Houston,German,Health & Wellness,7/20/21,Greater than or equal to 7
